,0
0,INFLATION
1,FUEL-TRANSPORT
2,HOARDING
3,INFLATION
4,HOARDING
5,NO
6,HOARDING
7,HOARDING
8,INFLATION
9,NO
10,HOARDING
11,INFLATION
12,WEATHER
13,NO
14,NO
15,HOARDING
16,NO
17,HOARDING
18,NO
19,NO
20,WEATHER
21,NO
22,HOARDING
23,NO
24,NAVRATRA
25,HOARDING
26,NO
27,WEATHER
28,NO
29,NAVRATRA
