,0
0,WEATHER
1,NO
2,NO
3,NO
4,NO
5,WEATHER
6,NO
7,NO
8,HOARDING
9,NO
10,NO
11,WEATHER
12,WEATHER
13,NO
14,NO
15,WEATHER
16,WEATHER
17,NO
18,WEATHER
19,NO
20,HOARDING
21,NO
22,HOARDING
23,WEATHER
24,WEATHER
25,NO
26,HOARDING
27,WEATHER
28,NO
29,NO
30,WEATHER
31,NO
32,NO
33,NO
34,NO
35,NO
36,NO
37,HOARDING
38,WEATHER
39,NO
40,FUEL
41,NO
42,NO
43,TRANSPORT
44,INFLATION
45,NO
46,TRANSPORT
47,NO
48,NO
49,INFLATION
50,NO
51,NO
52,NO
53,NO
54,FUEL
55,WEATHER
56,HOARDING
57,NO
58,FUEL
59,NO
60,HOARDING WEATHER
61,NO
62,NO
63,INFLATION
64,NO
65,NO
66,NO
67,NO
68,WEATHER
69,NO
70,WEATHER
71,NO
72,NO
73,WEATHER
74,NO
75,NO
76,NO
77,HOARDING
78,NO
79,HOARDING
80,WEATHER
81,NO
82,NO
83,NO
84,NO
85,INFLATION
86,NO
87,NO
88,TRANSPORT
89,NO
90,NO
91,NO
92,HOARDING
93,NO
94,WEATHER
95,WEATHER
96,NO
97,WEATHER
98,INFLATION
99,NO
100,TRANSPORT
101,NO
102,NO
103,NO
104,WEATHER
105,NO
106,NO
107,WEATHER
108,NO
109,FUEL
110,NO
111,INFLATION
112,INFLATION
113,NO
114,TRANSPORT
115,INFLATION
116,HOARDING
117,NO
118,NO
119,HOARDING
120,HOARDING
121,NO
122,WEATHER
123,NO
124,INFLATION
125,TRANSPORT
126,NO
127,NO
128,WEATHER
129,NO
130,NO
131,NO
