MANDINAME,STATENAME,VOLATILITY
LAKHIMPUR,UTTAR PRADESH,0.002393574364353231
AVERAGE,,0.001275905743525112
MUMBAI,MAHARASHTRA,0.000743844702730066
HAPUR,UTTAR PRADESH,0.0006902981634920389
