MANDINAME,STATENAME,VOLATILITY
LASALGAON,MAHARASHTRA,0.2677523020847055
RAICHUR,KARNATAKA,0.2342606431204653
PIMPALGAON,MAHARASHTRA,0.2051924891814348
BELGAUM,KARNATAKA,0.20514386421307784
MANMAD,MAHARASHTRA,0.1902510883439245
BANGALORE,KARNATAKA,0.18648872751674286
SANGAMNER,MAHARASHTRA,0.16017179838081722
LASALGAON(NIPHAD),MAHARASHTRA,0.13152000542031336
SHAHDARA,NCT OF DELHI,0.13130446786897412
YEOLA,MAHARASHTRA,0.12967618210987372
AVERAGE,,0.07433251360175239
