Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,05/10/2018,0.3, ,NR,NR,NR,
,10/10/2018,2.5,Other,NR,NR,1460,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,05/10/2018,0.3, ,NR,NR,NR,
,10/10/2018,2.5,Other,NR,NR,1460,
