MANDINAME,STATENAME,VOLATILITY
VAI,MAHARASHTRA,0.3075203691646332
CHANNAPATANA,KARNATAKA,0.2869336565879178
PATTIKONDA,ANDHRA PRADESH,0.2623489348603913
SANGAMNER,MAHARASHTRA,0.2566385918619675
BANGARPET,KARNATAKA,0.2394454871829402
CHIKKAMAGALORE,KARNATAKA,0.2377977036869648
DODDABALLA PUR,KARNATAKA,0.2358478074538269
RAMANAGARA,KARNATAKA,0.2333463513753828
MYSORE (BANDIPALYA),KARNATAKA,0.2294126586280099
CHINTAMANI,KARNATAKA,0.1885970055146168
AVERAGE,,0.09058299302666972
