DATE,DISPERSION
2010-07-01,0.0090841070317644
2010-12-01,0.0095002521451997
2011-01-01,0.0110372295653283
2012-08-01,0.0107697505653289
2012-09-01,0.0100488586963163
2013-04-01,0.0123186020310242
2013-05-01,0.0124656592407881
2013-07-01,0.0141083647755562
2013-08-01,0.014454600767082
2013-09-01,0.0165163044052897
2014-01-01,0.0182019396354578
2014-04-01,0.0199175838200965
2016-01-01,0.0169829736458868
2016-02-01,0.0201888589177812
2016-03-01,0.0198809239042751
2017-01-01,0.0238297469088743
2017-02-01,0.0242617593311064
2017-03-01,0.0264702767617312
2017-04-01,0.0269725263972257
2017-05-01,0.0296307021815982
2017-06-01,0.0303279072021195
2019-11-01,0.0177942843488674
2019-12-01,0.020116046709929
2020-04-01,0.0211524112878569
2020-05-01,0.0207483768856276
2020-06-01,0.0212628274997797
2021-06-01,0.0205518807263927
