5113,10300.897363950917,2019-01-01
5114,10312.51960189183,2019-01-02
5115,10284.945129572168,2019-01-03
5116,10312.519599270776,2019-01-04
5117,10298.732361346625,2019-01-05
5118,10284.945124329817,2019-01-06
5119,10285.98905668783,2019-01-07
5120,10289.594253883877,2019-01-08
5121,10289.211146602449,2019-01-09
5122,10289.917662481845,2019-01-10
5123,10289.211146669606,2019-01-11
5124,10289.56440465451,2019-01-12
5125,10289.917662616164,2019-01-13
5126,10289.89091487719,2019-01-14
5127,10289.798542155137,2019-01-15
5128,10289.808358168104,2019-01-16
5129,10289.790255747792,2019-01-17
5130,10289.808358166385,2019-01-18
5131,10289.79930695507,2019-01-19
5132,10289.79025574435,2019-01-20
5133,10289.790941077585,2019-01-21
5134,10289.79330786068,2019-01-22
5135,10289.793056353818,2019-01-23
5136,10289.793520175836,2019-01-24
5137,10289.793056353861,2019-01-25
5138,10289.7932882649,2019-01-26
5139,10289.793520175925,2019-01-27
5140,10289.793502616249,2019-01-28
5141,10289.793441974296,2019-01-29
5142,10289.79344841843,2019-01-30
