"NHB","FCA"
"AHMEDABAD","AHMEDABAD"
"AMRITSAR","AMRITSAR"
"Bengaluru","BENGALURU"
"BHOPAL","BHOPAL"
"BHUBANESHWAR","BHUBANESHWAR"
"CHANDIGARH","CHANDIGARH"
"CHENNAI","CHENNAI"
"DEHRADUN","DEHRADUN"
"DELHI","DELHI"
"GANGATOK","GANGTOK"
"GUWAHATI","GUWAHATI"
"HYDERABAD","HYDERABAD"
"JAIPUR","JAIPUR"
"JAMMU","JAMMU"
"KOLKATA","KOLKATA"
"LUCKNOW","LUCKNOW"
"MUMBAI","MUMBAI"
"NAGPUR","NAGPUR"
"NASHIK","NASHIK"
"PUNE","PUNE"
"RAIPUR","RAIPUR"
"RANCHI","RANCHI"
"SHIMLA","SHIMLA"
"SRINAGAR","SRINAGAR"
"VARANASI","VARANASI"
"VIJAYAWADA","VIJAYWADA"
"TRIVENDRUM","T.PURAM"
