DATE,DISPERSION
2011-05-01,0.0119213038450455
2011-06-01,0.0145151250081513
2011-07-01,0.0143624044029231
2012-05-01,0.014012193944429
2012-06-01,0.014208952796438
2013-05-01,0.0094744070067483
2013-06-01,0.0102345807775303
2013-08-01,0.0119634427963811
2014-05-01,0.0098996814203441
2014-06-01,0.0141126330964217
2015-06-01,0.0123518637498483
2015-07-01,0.0147550645780995
2016-02-01,0.0154453579013345
2016-06-01,0.0168888424109533
2016-08-01,0.0218171306728432
2016-09-01,0.0233186862352664
2016-10-01,0.022538331685885
2019-11-01,0.0090215849423353
2020-01-01,0.0092287147246104
2020-05-01,0.0123446601542698
2020-06-01,0.0118287778850043
2020-08-01,0.0128980939418115
