DATE,DISPERSION
2010-07-01,0.0560677053221629
2011-01-01,0.0539964443942378
2011-04-01,0.0559356361973037
2011-07-01,0.052064937702112
2011-08-01,0.0848580830784253
2011-09-01,0.0824306636690068
2012-08-01,0.0735443247927215
2012-09-01,0.0745406735350966
2012-10-01,0.0737008817507063
2013-08-01,0.0755295793631646
2014-09-01,0.0613708810656958
2014-10-01,0.0645958133846733
2015-08-01,0.0805903317980124
2015-09-01,0.0834965338707839
2016-08-01,0.0836634499744713
2016-09-01,0.0766468179969034
2018-01-01,0.0553293563115484
2018-07-01,0.0587501743178262
2020-04-01,0.0440264301872929
2020-12-01,0.0484758393193185
