,0.0
2006-01-01,800.0
2006-01-02,800.0
2006-01-03,800.0
2006-01-04,800.0
2006-01-05,800.0
2006-01-06,800.0
2006-01-07,800.0
2006-01-08,800.0
2006-01-09,800.0
2006-01-10,800.0
2006-01-11,800.0
2006-01-12,800.0
2006-01-13,800.0
2006-01-14,800.0
2006-01-15,800.0
2006-01-16,800.0
2006-01-17,800.0
2006-01-18,800.0
2006-01-19,800.0
2006-01-20,800.0
2006-01-21,800.0
2006-01-22,800.0
2006-01-23,800.0
2006-01-24,800.0
2006-01-25,800.0
2006-01-26,800.0
2006-01-27,800.0
2006-01-28,800.0
2006-01-29,800.0
2006-01-30,800.0
2006-01-31,800.0
2006-02-01,800.0
2006-02-02,800.0
2006-02-03,800.0
2006-02-04,800.0
2006-02-05,800.0
2006-02-06,800.0
2006-02-07,800.0
2006-02-08,800.0
2006-02-09,800.0
2006-02-10,800.0
2006-02-11,800.0
2006-02-12,800.0
2006-02-13,800.0
2006-02-14,800.0
2006-02-15,800.0
2006-02-16,800.0
2006-02-17,800.0
2006-02-18,800.0
2006-02-19,800.0
2006-02-20,800.0
2006-02-21,800.0
2006-02-22,800.0
2006-02-23,800.0
2006-02-24,800.0
2006-02-25,800.0
2006-02-26,800.0
2006-02-27,800.0
2006-02-28,800.0
2006-03-01,800.0
2006-03-02,800.0
2006-03-03,800.0
2006-03-04,800.0
2006-03-05,800.0
2006-03-06,800.0
2006-03-07,800.0
2006-03-08,800.0
2006-03-09,800.0
2006-03-10,800.0
2006-03-11,800.0
2006-03-12,800.0
2006-03-13,800.0
2006-03-14,800.0
2006-03-15,800.0
2006-03-16,800.0
2006-03-17,800.0
2006-03-18,800.0
2006-03-19,800.0
2006-03-20,800.0
2006-03-21,800.0
2006-03-22,800.0
2006-03-23,800.0
2006-03-24,800.0
2006-03-25,800.0
2006-03-26,800.0
2006-03-27,800.0
2006-03-28,800.0
2006-03-29,800.0
2006-03-30,800.0
2006-03-31,800.0
2006-04-01,800.0
2006-04-02,800.0
2006-04-03,800.0
2006-04-04,800.0
2006-04-05,800.0
2006-04-06,800.0
2006-04-07,800.0
2006-04-08,800.0
2006-04-09,800.0
2006-04-10,800.0
2006-04-11,800.0
2006-04-12,800.0
2006-04-13,800.0
2006-04-14,800.0
2006-04-15,800.0
2006-04-16,800.0
2006-04-17,800.0
2006-04-18,800.0
2006-04-19,800.0
2006-04-20,800.0
2006-04-21,800.0
2006-04-22,800.0
2006-04-23,800.0
2006-04-24,800.0
2006-04-25,800.0
2006-04-26,800.0
2006-04-27,800.0
2006-04-28,800.0
2006-04-29,800.0
2006-04-30,800.0
2006-05-01,800.0
2006-05-02,800.0
2006-05-03,800.0
2006-05-04,800.0
2006-05-05,800.0
2006-05-06,800.0
2006-05-07,800.0
2006-05-08,800.0
2006-05-09,800.0
2006-05-10,800.0
2006-05-11,800.0
2006-05-12,800.0
2006-05-13,800.0
2006-05-14,800.0
2006-05-15,800.0
2006-05-16,800.0
2006-05-17,800.0
2006-05-18,800.0
2006-05-19,800.0
2006-05-20,800.0
2006-05-21,800.0
2006-05-22,800.0
2006-05-23,800.0
2006-05-24,800.0
2006-05-25,800.0
2006-05-26,800.0
2006-05-27,800.0
2006-05-28,800.0
2006-05-29,800.0
2006-05-30,800.0
2006-05-31,800.0
2006-06-01,800.0
2006-06-02,800.0
2006-06-03,800.0
2006-06-04,800.0
2006-06-05,800.0
2006-06-06,800.0
2006-06-07,800.0
2006-06-08,800.0
2006-06-09,800.0
2006-06-10,800.0
2006-06-11,800.0
2006-06-12,800.0
2006-06-13,800.0
2006-06-14,800.0
2006-06-15,800.0
2006-06-16,800.0
2006-06-17,800.0
2006-06-18,800.0
2006-06-19,800.0
2006-06-20,800.0
2006-06-21,800.0
2006-06-22,800.0
2006-06-23,800.0
2006-06-24,800.0
2006-06-25,800.0
2006-06-26,800.0
2006-06-27,800.0
2006-06-28,800.0
2006-06-29,800.0
2006-06-30,800.0
2006-07-01,800.0
2006-07-02,800.0
2006-07-03,800.0
2006-07-04,800.0
2006-07-05,800.0
2006-07-06,800.0
2006-07-07,800.0
2006-07-08,800.0
2006-07-09,800.0
2006-07-10,800.0
2006-07-11,800.0
2006-07-12,800.0
2006-07-13,800.0
2006-07-14,800.0
2006-07-15,800.0
2006-07-16,800.0
2006-07-17,800.0
2006-07-18,800.0
2006-07-19,800.0
2006-07-20,800.0
2006-07-21,800.0
2006-07-22,800.0
2006-07-23,800.0
2006-07-24,800.0
2006-07-25,800.0
2006-07-26,800.0
2006-07-27,800.0
2006-07-28,800.0
2006-07-29,800.0
2006-07-30,800.0
2006-07-31,800.0
2006-08-01,800.0
2006-08-02,800.0
2006-08-03,800.0
2006-08-04,800.0
2006-08-05,800.0
2006-08-06,800.0
2006-08-07,800.0
2006-08-08,800.0
2006-08-09,800.0
2006-08-10,800.0
2006-08-11,800.0
2006-08-12,800.0
2006-08-13,800.0
2006-08-14,800.0
2006-08-15,800.0
2006-08-16,800.0
2006-08-17,800.0
2006-08-18,800.0
2006-08-19,800.0
2006-08-20,800.0
2006-08-21,800.0
2006-08-22,800.0
2006-08-23,800.0
2006-08-24,800.0
2006-08-25,800.0
2006-08-26,800.0
2006-08-27,800.0
2006-08-28,800.0
2006-08-29,800.0
2006-08-30,800.0
2006-08-31,800.0
2006-09-01,800.0
2006-09-02,800.0
2006-09-03,800.0
2006-09-04,800.0
2006-09-05,800.0
2006-09-06,800.0
2006-09-07,800.0
2006-09-08,800.0
2006-09-09,800.0
2006-09-10,800.0
2006-09-11,800.0
2006-09-12,800.0
2006-09-13,800.0
2006-09-14,800.0
2006-09-15,800.0
2006-09-16,800.0
2006-09-17,800.0
2006-09-18,800.0
2006-09-19,800.0
2006-09-20,800.0
2006-09-21,800.0
2006-09-22,800.0
2006-09-23,800.0
2006-09-24,800.0
2006-09-25,800.0
2006-09-26,800.0
2006-09-27,800.0
2006-09-28,800.0
2006-09-29,800.0
2006-09-30,800.0
2006-10-01,800.0
2006-10-02,800.0
2006-10-03,800.0
2006-10-04,800.0
2006-10-05,800.0
2006-10-06,800.0
2006-10-07,800.0
2006-10-08,800.0
2006-10-09,800.0
2006-10-10,800.0
2006-10-11,800.0
2006-10-12,800.0
2006-10-13,800.0
2006-10-14,800.0
2006-10-15,800.0
2006-10-16,800.0
2006-10-17,800.0
2006-10-18,800.0
2006-10-19,800.0
2006-10-20,800.0
2006-10-21,800.0
2006-10-22,800.0
2006-10-23,800.0
2006-10-24,800.0
2006-10-25,800.0
2006-10-26,800.0
2006-10-27,800.0
2006-10-28,800.0
2006-10-29,800.0
2006-10-30,800.0
2006-10-31,800.0
2006-11-01,800.0
2006-11-02,800.0
2006-11-03,800.0
2006-11-04,800.0
2006-11-05,800.0
2006-11-06,800.0
2006-11-07,800.0
2006-11-08,800.0
2006-11-09,800.0
2006-11-10,800.0
2006-11-11,800.0
2006-11-12,800.0
2006-11-13,800.0
2006-11-14,800.0
2006-11-15,1000.0
2006-11-16,900.0
2006-11-17,900.0
2006-11-18,900.0
2006-11-19,900.0
2006-11-20,900.0
2006-11-21,900.0
2006-11-22,1000.0
2006-11-23,1000.0
2006-11-24,1000.0
2006-11-25,1000.0
2006-11-26,1000.0
2006-11-27,1000.0
2006-11-28,1000.0
2006-11-29,1000.0
2006-11-30,1000.0
2006-12-01,1000.0
2006-12-02,1000.0
2006-12-03,1000.0
2006-12-04,1000.0
2006-12-05,1000.0
2006-12-06,1000.0
2006-12-07,1000.0
2006-12-08,1000.0
2006-12-09,1000.0
2006-12-10,1000.0
2006-12-11,1000.0
2006-12-12,1000.0
2006-12-13,1000.0
2006-12-14,1000.0
2006-12-15,1200.0
2006-12-16,1200.0
2006-12-17,1200.0
2006-12-18,1200.0
2006-12-19,1200.0
2006-12-20,1200.0
2006-12-21,1200.0
2006-12-22,1200.0
2006-12-23,1150.0
2006-12-24,1100.0
2006-12-25,1050.0
2006-12-26,1000.0
2006-12-27,1000.0
2006-12-28,1000.0
2006-12-29,1000.0
2006-12-30,1050.0
2006-12-31,1100.0
2007-01-01,1150.0
2007-01-02,1200.0
2007-01-03,1200.0
2007-01-04,1200.0
2007-01-05,1200.0
2007-01-06,1200.0
2007-01-07,1200.0
2007-01-08,1200.0
2007-01-09,1200.0
2007-01-10,1200.0
2007-01-11,1200.0
2007-01-12,1200.0
2007-01-13,1233.3333333333333
2007-01-14,1266.6666666666667
2007-01-15,1300.0
2007-01-16,1300.0
2007-01-17,1300.0
2007-01-18,1300.0
2007-01-19,1500.0
2007-01-20,1500.0
2007-01-21,1500.0
2007-01-22,1500.0
2007-01-23,1500.0
2007-01-24,1500.0
2007-01-25,1500.0
2007-01-26,1500.0
2007-01-27,1500.0
2007-01-28,1500.0
2007-01-29,1500.0
2007-01-30,1600.0
2007-01-31,1700.0
2007-02-01,1700.0
2007-02-02,1700.0
2007-02-03,1633.333333333333
2007-02-04,1566.666666666667
2007-02-05,1500.0
2007-02-06,1400.0
2007-02-07,1400.0
2007-02-08,1400.0
2007-02-09,1400.0
2007-02-10,1400.0
2007-02-11,1400.0
2007-02-12,1400.0
2007-02-13,1400.0
2007-02-14,1400.0
2007-02-15,1400.0
2007-02-16,1400.0
2007-02-17,1400.0
2007-02-18,1400.0
2007-02-19,1400.0
2007-02-20,1700.0
2007-02-21,1700.0
2007-02-22,1700.0
2007-02-23,1700.0
2007-02-24,1700.0
2007-02-25,1700.0
2007-02-26,1700.0
2007-02-27,1600.0
2007-02-28,1600.0
2007-03-01,1598.0519480519479
2007-03-02,1596.1038961038962
2007-03-03,1594.155844155844
2007-03-04,1592.2077922077924
2007-03-05,1590.2597402597405
2007-03-06,1588.3116883116886
2007-03-07,1586.3636363636365
2007-03-08,1584.4155844155844
2007-03-09,1582.4675324675322
2007-03-10,1580.5194805194806
2007-03-11,1578.5714285714291
2007-03-12,1576.6233766233765
2007-03-13,1574.6753246753244
2007-03-14,1572.7272727272727
2007-03-15,1570.7792207792209
2007-03-16,1568.8311688311687
