,0.0
2006-01-01,1100.0
2006-01-02,1100.0
2006-01-03,1000.0
2006-01-04,900.0
2006-01-05,1000.0
2006-01-06,900.0
2006-01-07,900.0
2006-01-08,900.0
2006-01-09,900.0
2006-01-10,900.0
2006-01-11,900.0
2006-01-12,900.0
2006-01-13,900.0
2006-01-14,900.0
2006-01-15,900.0
2006-01-16,900.0
2006-01-17,900.0
2006-01-18,900.0
2006-01-19,900.0
2006-01-20,900.0
2006-01-21,900.0
2006-01-22,900.0
2006-01-23,900.0
2006-01-24,800.0
2006-01-25,800.0
2006-01-26,800.0
2006-01-27,800.0
2006-01-28,800.0
2006-01-29,800.0
2006-01-30,800.0
2006-01-31,700.0
2006-02-01,700.0
2006-02-02,700.0
2006-02-03,700.0
2006-02-04,700.0
2006-02-05,700.0
2006-02-06,700.0
2006-02-07,700.0
2006-02-08,700.0
2006-02-09,700.0
2006-02-10,700.0
2006-02-11,700.0
2006-02-12,700.0
2006-02-13,700.0
2006-02-14,700.0
2006-02-15,700.0
2006-02-16,700.0
2006-02-17,700.0
2006-02-18,700.0
2006-02-19,700.0
2006-02-20,700.0
2006-02-21,700.0
2006-02-22,700.0
2006-02-23,700.0
2006-02-24,700.0
2006-02-25,700.0
2006-02-26,700.0
2006-02-27,700.0
2006-02-28,700.0
2006-03-01,800.0
2006-03-02,700.0
2006-03-03,800.0
2006-03-04,800.0
2006-03-05,800.0
2006-03-06,800.0
2006-03-07,800.0
2006-03-08,700.0
2006-03-09,700.0
2006-03-10,700.0
2006-03-11,700.0
2006-03-12,700.0
2006-03-13,700.0
2006-03-14,700.0
2006-03-15,750.0
2006-03-16,800.0
2006-03-17,800.0
2006-03-18,800.0
2006-03-19,800.0
2006-03-20,800.0
2006-03-21,800.0
2006-03-22,700.0
2006-03-23,700.0
2006-03-24,700.0
2006-03-25,700.0
2006-03-26,700.0
2006-03-27,700.0
2006-03-28,700.0
2006-03-29,700.0
2006-03-30,700.0
2006-03-31,700.0
2006-04-01,700.0
2006-04-02,700.0
2006-04-03,700.0
2006-04-04,700.0
2006-04-05,700.0
2006-04-06,700.0
2006-04-07,700.0
2006-04-08,700.0
2006-04-09,700.0
2006-04-10,700.0
2006-04-11,700.0
2006-04-12,700.0
2006-04-13,700.0
2006-04-14,700.0
2006-04-15,700.0
2006-04-16,700.0
2006-04-17,700.0
2006-04-18,700.0
2006-04-19,700.0
2006-04-20,700.0
2006-04-21,700.0
2006-04-22,700.0
2006-04-23,700.0
2006-04-24,700.0
2006-04-25,700.0
2006-04-26,700.0
2006-04-27,700.0
2006-04-28,600.0
2006-04-29,600.0
2006-04-30,600.0
2006-05-01,600.0
2006-05-02,700.0
2006-05-03,700.0
2006-05-04,700.0
2006-05-05,700.0
2006-05-06,700.0
2006-05-07,700.0
2006-05-08,700.0
2006-05-09,700.0
2006-05-10,700.0
2006-05-11,700.0
2006-05-12,700.0
2006-05-13,700.0
2006-05-14,700.0
2006-05-15,700.0
2006-05-16,700.0
2006-05-17,700.0
2006-05-18,700.0
2006-05-19,700.0
2006-05-20,700.0
2006-05-21,700.0
2006-05-22,700.0
2006-05-23,700.0
2006-05-24,700.0
2006-05-25,700.0
2006-05-26,700.0
2006-05-27,700.0
2006-05-28,700.0
2006-05-29,700.0
2006-05-30,700.0
2006-05-31,600.0
2006-06-01,700.0
2006-06-02,700.0
2006-06-03,700.0
2006-06-04,700.0
2006-06-05,700.0
2006-06-06,700.0
2006-06-07,700.0
2006-06-08,700.0
2006-06-09,700.0
2006-06-10,733.3333333333335
2006-06-11,766.6666666666665
2006-06-12,800.0
2006-06-13,800.0
2006-06-14,800.0
2006-06-15,800.0
2006-06-16,800.0
2006-06-17,800.0
2006-06-18,800.0
2006-06-19,800.0
2006-06-20,800.0
2006-06-21,800.0
2006-06-22,800.0
2006-06-23,800.0
2006-06-24,800.0
2006-06-25,800.0
2006-06-26,800.0
2006-06-27,900.0
2006-06-28,800.0
2006-06-29,900.0
2006-06-30,900.0
2006-07-01,900.0
2006-07-02,900.0
2006-07-03,900.0
2006-07-04,900.0
2006-07-05,900.0
2006-07-06,900.0
2006-07-07,900.0
2006-07-08,900.0
2006-07-09,900.0
2006-07-10,900.0
2006-07-11,900.0
2006-07-12,900.0
2006-07-13,900.0
2006-07-14,900.0
2006-07-15,900.0
2006-07-16,900.0
2006-07-17,900.0
2006-07-18,900.0
2006-07-19,900.0
2006-07-20,900.0
2006-07-21,900.0
2006-07-22,900.0
2006-07-23,900.0
2006-07-24,900.0
2006-07-25,800.0
2006-07-26,800.0
2006-07-27,900.0
2006-07-28,900.0
2006-07-29,900.0
2006-07-30,900.0
2006-07-31,900.0
2006-08-01,900.0
2006-08-02,900.0
2006-08-03,900.0
2006-08-04,900.0
2006-08-05,900.0
2006-08-06,900.0
2006-08-07,900.0
2006-08-08,900.0
2006-08-09,900.0
2006-08-10,900.0
2006-08-11,900.0
2006-08-12,900.0
2006-08-13,900.0
2006-08-14,900.0
2006-08-15,933.3333333333336
2006-08-16,966.6666666666664
2006-08-17,1000.0
2006-08-18,1000.0
2006-08-19,1000.0
2006-08-20,1000.0
2006-08-21,1000.0
2006-08-22,1000.0
2006-08-23,1000.0
2006-08-24,1000.0
2006-08-25,1000.0
2006-08-26,1000.0
2006-08-27,1000.0
2006-08-28,1000.0
2006-08-29,1000.0
2006-08-30,1000.0
2006-08-31,900.0
2006-09-01,1000.0
2006-09-02,966.6666666666664
2006-09-03,933.3333333333336
2006-09-04,900.0
2006-09-05,900.0
2006-09-06,900.0
2006-09-07,900.0
2006-09-08,900.0
2006-09-09,900.0
2006-09-10,900.0
2006-09-11,900.0
2006-09-12,900.0
2006-09-13,900.0
2006-09-14,900.0
2006-09-15,1000.0
2006-09-16,1000.0
2006-09-17,1000.0
2006-09-18,1000.0
2006-09-19,900.0
2006-09-20,1000.0
2006-09-21,1000.0
2006-09-22,1000.0
2006-09-23,1000.0
2006-09-24,1000.0
2006-09-25,1000.0
2006-09-26,1000.0
2006-09-27,1000.0
2006-09-28,1000.0
2006-09-29,900.0
2006-09-30,900.0
2006-10-01,900.0
2006-10-02,900.0
2006-10-03,900.0
2006-10-04,900.0
2006-10-05,900.0
2006-10-06,900.0
2006-10-07,933.3333333333336
2006-10-08,966.6666666666664
2006-10-09,1000.0
2006-10-10,1000.0
2006-10-11,1000.0
2006-10-12,1000.0
2006-10-13,900.0
2006-10-14,900.0
2006-10-15,900.0
2006-10-16,900.0
2006-10-17,1000.0
2006-10-18,1100.0
2006-10-19,1100.0
2006-10-20,1000.0
2006-10-21,1000.0
2006-10-22,1000.0
2006-10-23,1000.0
2006-10-24,1000.0
2006-10-25,1000.0
2006-10-26,1000.0
2006-10-27,1000.0
2006-10-28,1000.0
2006-10-29,1000.0
2006-10-30,1000.0
2006-10-31,1100.0
2006-11-01,1100.0
2006-11-02,1100.0
2006-11-03,1100.0
