Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,22/05/2006,1392.8, ,NR,NR,NR
Ahmednagar,25/05/2006,1016.7, ,NR,NR,NR
Aurangabad,02/05/2006,6, ,NR,NR,NR
Aurangabad,03/05/2006,20, ,NR,NR,NR
Aurangabad,04/05/2006,21.2, ,NR,NR,NR
Aurangabad,06/05/2006,18.5, ,NR,NR,NR
Aurangabad,07/05/2006,10.1, ,NR,NR,NR
Aurangabad,08/05/2006,15, ,NR,NR,NR
Aurangabad,10/05/2006,13, ,NR,NR,NR
Aurangabad,11/05/2006,9, ,NR,NR,NR
Aurangabad,13/05/2006,11, ,NR,NR,NR
Aurangabad,14/05/2006,16, ,NR,NR,NR
Aurangabad,15/05/2006,9, ,NR,NR,NR
Aurangabad,16/05/2006,14, ,NR,NR,NR
Aurangabad,17/05/2006,10.5, ,NR,NR,NR
Aurangabad,22/05/2006,17.5, ,NR,NR,NR
Aurangabad,23/05/2006,14, ,NR,NR,NR
Aurangabad,24/05/2006,9, ,NR,NR,NR
Aurangabad,25/05/2006,14.8, ,NR,NR,NR
Aurangabad,27/05/2006,18, ,NR,NR,NR
Aurangabad,30/05/2006,8.5, ,NR,NR,NR
Aurangabad,31/05/2006,6, ,NR,NR,NR
Baramati,06/05/2006,15, ,NR,NR,NR
Baramati,17/05/2006,18, ,NR,NR,NR
Baramati,20/05/2006,13.2, ,NR,NR,NR
Baramati,24/05/2006,4, ,NR,NR,NR
Baramati,27/05/2006,10, ,NR,NR,NR
Baramati,31/05/2006,12.5, ,NR,NR,NR
Barshi,02/05/2006,316.3, ,NR,NR,NR
Barshi,03/05/2006,113.5, ,NR,NR,NR
Barshi,04/05/2006,63.6, ,NR,NR,NR
Barshi,05/05/2006,63.6, ,NR,NR,NR
Barshi,08/05/2006,259.4, ,NR,NR,NR
Barshi,09/05/2006,124.4, ,NR,NR,NR
Barshi,10/05/2006,59.7, ,NR,NR,NR
Barshi,11/05/2006,59.7, ,NR,NR,NR
Barshi,16/05/2006,265.9, ,NR,NR,NR
Barshi,19/05/2006,57.1, ,NR,NR,NR
Barshi,20/05/2006,57.1, ,NR,NR,NR
Barshi,22/05/2006,85.7, ,NR,NR,NR
Barshi,23/05/2006,79.4, ,NR,NR,NR
Barshi,29/05/2006,221.7, ,NR,NR,NR
Barshi,30/05/2006,72.3, ,NR,NR,NR
Barshi,31/05/2006,83.1, ,NR,NR,NR
Bhusaval,31/05/2006,22.4, ,NR,NR,NR
Devala,02/05/2006,400, ,NR,NR,NR
Devala,03/05/2006,460, ,NR,NR,NR
Devala,05/05/2006,460, ,NR,NR,NR
Devala,08/05/2006,350, ,NR,NR,NR
Devala,09/05/2006,360, ,NR,NR,NR
Devala,12/05/2006,260, ,NR,NR,NR
Devala,15/05/2006,280, ,NR,NR,NR
Devala,16/05/2006,170, ,NR,NR,NR
Devala,17/05/2006,185, ,NR,NR,NR
Devala,18/05/2006,320, ,NR,NR,NR
Devala,19/05/2006,290, ,NR,NR,NR
Devala,24/05/2006,270, ,NR,NR,NR
Devala,25/05/2006,240, ,NR,NR,NR
Devala,26/05/2006,100, ,NR,NR,NR
Devala,29/05/2006,260, ,NR,NR,NR
Devala,31/05/2006,80, ,NR,NR,NR
Dhule,02/05/2006,400, ,NR,NR,NR
Dhule,03/05/2006,160, ,NR,NR,NR
Dhule,04/05/2006,250, ,NR,NR,NR
Dhule,05/05/2006,93.1, ,NR,NR,NR
Dhule,08/05/2006,200, ,NR,NR,NR
Dhule,09/05/2006,250, ,NR,NR,NR
Dhule,10/05/2006,150, ,NR,NR,NR
Dhule,11/05/2006,100, ,NR,NR,NR
Dhule,12/05/2006,90, ,NR,NR,NR
Dhule,13/05/2006,100, ,NR,NR,NR
Dhule,15/05/2006,10, ,NR,NR,NR
Dhule,16/05/2006,100, ,NR,NR,NR
Dhule,17/05/2006,80, ,NR,NR,NR
Dhule,20/05/2006,126.4, ,NR,NR,NR
Dhule,24/05/2006,150, ,NR,NR,NR
Dhule,25/05/2006,90, ,NR,NR,NR
Dhule,26/05/2006,150, ,NR,NR,NR
Dindori,02/05/2006,212.9, ,NR,NR,NR
Dindori,03/05/2006,371.3, ,NR,NR,NR
Dindori,04/05/2006,237.3, ,NR,NR,NR
Dindori,05/05/2006,647, ,NR,NR,NR
Dindori,08/05/2006,214.2, ,NR,NR,NR
Dindori,09/05/2006,177.9, ,NR,NR,NR
Dindori,10/05/2006,138.8, ,NR,NR,NR
Dindori,11/05/2006,129.1, ,NR,NR,NR
Dindori,12/05/2006,182.5, ,NR,NR,NR
Dindori,18/05/2006,183.2, ,NR,NR,NR
Dindori,19/05/2006,174.5, ,NR,NR,NR
Dindori,22/05/2006,244.4, ,NR,NR,NR
Dindori,23/05/2006,130.9, ,NR,NR,NR
Dindori,24/05/2006,260.6, ,NR,NR,NR
Dindori,25/05/2006,86.3, ,NR,NR,NR
Dindori,26/05/2006,104.8, ,NR,NR,NR
Dindori,30/05/2006,73.3, ,NR,NR,NR
Dindori,31/05/2006,41.5, ,NR,NR,NR
Dindori(Vani),03/05/2006,845.1, ,NR,NR,NR
Dindori(Vani),04/05/2006,673.5, ,NR,NR,NR
Dindori(Vani),05/05/2006,647, ,NR,NR,NR
Dindori(Vani),11/05/2006,246.9, ,NR,NR,NR
Dindori(Vani),12/05/2006,401.3, ,NR,NR,NR
Dindori(Vani),15/05/2006,482.9, ,NR,NR,NR
Dindori(Vani),19/05/2006,403.7, ,NR,NR,NR
Dindori(Vani),22/05/2006,585.3, ,NR,NR,NR
Indapur,05/05/2006,64.5, ,NR,NR,NR
Indapur,07/05/2006,71.5, ,NR,NR,NR
Indapur,14/05/2006,78.7, ,NR,NR,NR
Indapur,17/05/2006,62.1, ,NR,NR,NR
Indapur,19/05/2006,38.6, ,NR,NR,NR
Indapur,28/05/2006,99.9, ,NR,NR,NR
Indapur,31/05/2006,65.1, ,NR,NR,NR
Jalana,02/05/2006,11.9, ,NR,NR,NR
Jalana,06/05/2006,10.4, ,NR,NR,NR
Jalana,15/05/2006,13, ,NR,NR,NR
Jalana,23/05/2006,9.3, ,NR,NR,NR
Jalgaon,04/05/2006,80, ,NR,NR,NR
Jalgaon,06/05/2006,100, ,NR,NR,NR
Jalgaon,08/05/2006,125, ,NR,NR,NR
Jalgaon,11/05/2006,52.5, ,NR,NR,NR
Jalgaon,12/05/2006,50, ,NR,NR,NR
Jalgaon,15/05/2006,72.5, ,NR,NR,NR
Jalgaon,16/05/2006,48, ,NR,NR,NR
Jalgaon,18/05/2006,36, ,NR,NR,NR
Jalgaon,19/05/2006,45, ,NR,NR,NR
Jalgaon,20/05/2006,55, ,NR,NR,NR
Jalgaon,23/05/2006,105, ,NR,NR,NR
Jalgaon,24/05/2006,115, ,NR,NR,NR
Jalgaon,25/05/2006,100, ,NR,NR,NR
Jalgaon,26/05/2006,125, ,NR,NR,NR
Jalgaon,27/05/2006,80, ,NR,NR,NR
Jalgaon,29/05/2006,135, ,NR,NR,NR
Jalgaon,31/05/2006,80, ,NR,NR,NR
Jawali,15/05/2006,3.2, ,NR,NR,NR
Junnar,07/05/2006,179.5,Other,200,270,220
Junnar,11/05/2006,140, ,NR,NR,NR
Junnar,14/05/2006,144.2, ,NR,NR,NR
Junnar,18/05/2006,179.5, ,NR,NR,NR
Junnar,21/05/2006,471.2, ,NR,NR,NR
Junnar,25/05/2006,367, ,NR,NR,NR
Junnar,26/05/2006,460, ,NR,NR,NR
Junnar,27/05/2006,584, ,NR,NR,NR
Junnar,28/05/2006,560, ,NR,NR,NR
Kada,03/05/2006,120, ,NR,NR,NR
Kada,17/05/2006,25, ,NR,NR,NR
Kada,21/05/2006,47.5, ,NR,NR,NR
Kada,29/05/2006,132.5, ,NR,NR,NR
Kada,31/05/2006,47.5, ,NR,NR,NR
Kalmeshwar,12/05/2006,0.3, ,NR,NR,NR
Kalmeshwar,13/05/2006,0.2,Other,400,500,450
Kalmeshwar,14/05/2006,0.6,Other,400,600,500
Kalmeshwar,31/05/2006,0.4,Other,200,350,275
Kalvan,09/05/2006,540, ,NR,NR,NR
Kalvan,11/05/2006,300, ,NR,NR,NR
Kalvan,12/05/2006,250, ,NR,NR,NR
Kalvan,15/05/2006,100, ,NR,NR,NR
Kalvan,16/05/2006,300, ,NR,NR,NR
Kalvan,18/05/2006,400, ,NR,NR,NR
Kalyan,09/05/2006,0.1,Other,270,320,295
Kalyan,10/05/2006,0.1,Other,280,320,300
Kalyan,23/05/2006,0.1,Other,220,300,260
Kalyan,24/05/2006,0.1,Other,280,300,290
Kalyan,25/05/2006,0.1,Other,220,300,260
Kalyan,26/05/2006,0.1,Other,250,300,275
Kalyan,27/05/2006,0.1,Other,240,320,280
Kalyan,28/05/2006,0.1,Other,240,300,270
Kalyan,30/05/2006,0.1,Other,250,300,275
Karad,02/05/2006,50, ,NR,NR,NR
Karad,03/05/2006,70, ,NR,NR,NR
Karad,04/05/2006,80, ,NR,NR,NR
Karad,08/05/2006,50, ,NR,NR,NR
Karad,09/05/2006,30, ,NR,NR,NR
Karad,10/05/2006,40, ,NR,NR,NR
Karad,11/05/2006,20, ,NR,NR,NR
Karad,15/05/2006,45, ,NR,NR,NR
Karad,18/05/2006,40, ,NR,NR,NR
Karad,20/05/2006,30, ,NR,NR,NR
Karad,22/05/2006,50,Other,200,300,250
Karad,25/05/2006,41, ,NR,NR,NR
Karad,27/05/2006,90, ,NR,NR,NR
Karad,29/05/2006,35, ,NR,NR,NR
Karad,30/05/2006,30, ,NR,NR,NR
Karad,31/05/2006,25,Other,200,300,250
Karmala,18/05/2006,36.4, ,NR,NR,NR
Khed,06/05/2006,605, ,NR,NR,NR
Khed,20/05/2006,683, ,NR,NR,NR
Khed,24/05/2006,395.5, ,NR,NR,NR
Khed,27/05/2006,350, ,NR,NR,NR
Khed(Chakan),03/05/2006,480, ,NR,NR,NR
Khed(Chakan),06/05/2006,605, ,NR,NR,NR
Khed(Chakan),10/05/2006,560, ,NR,NR,NR
Khed(Chakan),17/05/2006,341, ,NR,NR,NR
Khed(Chakan),20/05/2006,683, ,NR,NR,NR
Kolhapur,05/05/2006,551.2, ,NR,NR,NR
Kolhapur,09/05/2006,591, ,NR,NR,NR
Kolhapur,10/05/2006,406.8, ,NR,NR,NR
