Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ahmednagar,02/10/2008,633.2,Other,200,1000,600
Ahmednagar,02/10/2008,633.2,Red,200,650,425
Ahmednagar,06/10/2008,1337.3,Other,200,900,500
Ahmednagar,09/10/2008,1276.3,Other,NR,NR,NR
Ahmednagar,11/10/2008,1205.4,Other,200,820,510
Ahmednagar,13/10/2008,1668.8,Other,NR,NR,NR
Ahmednagar,16/10/2008,1558,Other,NR,NR,NR
Aurangabad,01/10/2008,6.5,Other,150,350,250
Aurangabad,02/10/2008,3.7,Other,125,325,225
Aurangabad,04/10/2008,15.2,Other,150,450,300
Aurangabad,05/10/2008,33,Other,125,425,275
Aurangabad,06/10/2008,8.3,Other,150,550,350
Aurangabad,07/10/2008,11,Other,250,450,400
Aurangabad,09/10/2008,24.5,Other,250,525,350
Aurangabad,11/10/2008,6.3,Other,150,450,300
Aurangabad,12/10/2008,48.3,Other,NR,NR,NR
Aurangabad,13/10/2008,27.5,Other,200,500,350
Aurangabad,14/10/2008,16.3,Other,200,500,350
Aurangabad,18/10/2008,23,Other,300,550,450
Baramati,08/10/2008,25,Red,350,800,650
Baramati,11/10/2008,29,Red,350,750,600
Baramati,15/10/2008,8,Red,200,750,550
Baramati,22/10/2008,71.3,Red,NR,NR,NR
Chandvad,04/10/2008,118,Red,NR,NR,NR
Chandvad,07/10/2008,254,Red,NR,NR,NR
Chandvad,08/10/2008,319.5,Red,NR,NR,NR
Chandvad,10/10/2008,400.5,Red,NR,NR,NR
Chandvad,11/10/2008,194,Red,NR,NR,NR
Chandvad,14/10/2008,471,Red,NR,NR,NR
Chandvad,17/10/2008,267.5,Red,NR,NR,NR
Chandvad,18/10/2008,207.5,Red,NR,NR,NR
Chandvad,21/10/2008,231,Red,NR,NR,NR
Chandvad,22/10/2008,216.5,Red,NR,NR,NR
Chandvad,23/10/2008,215,Red,NR,NR,NR
Chandvad,24/10/2008,169,Red,NR,NR,NR
Chandvad,25/10/2008,120.5,Red,NR,NR,NR
Dhule,01/10/2008,73.9,Red,NR,NR,NR
Dhule,13/10/2008,151.6,Red,NR,NR,NR
Dhule,14/10/2008,31,Red,NR,NR,NR
Dhule,15/10/2008,60,Other,210,640,400
Dhule,16/10/2008,70,Other,340,730,605
Dhule,17/10/2008,100,Other,NR,NR,NR
Dhule,20/10/2008,150,Other,NR,NR,NR
Ghoti,04/10/2008,1.4,Other,400,450,425
Ghoti,07/10/2008,0.5,Other,450,476,463
Ghoti,11/10/2008,1.2,Other,700,1000,850
Ghoti,14/10/2008,0.5,Other,666,900,783
Ghoti,18/10/2008,3.2,Other,350,466,408
Ghoti,21/10/2008,0.8,Other,400,450,425
Ghoti,25/10/2008,1.6,Other,400,450,425
Jalgaon,01/10/2008,18,Red,200,725,450
Jalgaon,03/10/2008,22,Red,250,900,500
Jalgaon,04/10/2008,18,Red,200,900,525
Jalgaon,06/10/2008,40,Red,250,825,500
Jalgaon,08/10/2008,28,Red,250,700,475
Jalgaon,10/10/2008,60,Red,200,775,450
Jalgaon,13/10/2008,45,Red,300,750,525
Jalgaon,14/10/2008,24,Red,NR,NR,NR
Jalgaon,15/10/2008,40,Red,200,700,450
Jalgaon,16/10/2008,16,Red,250,775,500
Jalgaon,17/10/2008,55,Red,200,700,450
Jalgaon,18/10/2008,28,Red,300,750,525
Jalgaon,20/10/2008,45,Red,200,575,400
Jalgaon,21/10/2008,55,Red,200,580,400
Jalgaon,22/10/2008,40,Red,200,675,425
Jalgaon,23/10/2008,25,Red,NR,NR,NR
Jalgaon,24/10/2008,55,Red,225,680,450
Jalgaon,25/10/2008,25,Red,200,600,400
Jalgaon,31/10/2008,15,Red,200,750,475
Junnar,30/10/2008,98.1,Other,700,900,800
Kalvan,06/10/2008,415,Other,NR,NR,NR
Kalvan,07/10/2008,440,Other,NR,NR,NR
Kalvan,10/10/2008,600,Other,NR,NR,NR
Kalvan,11/10/2008,70,Other,NR,NR,NR
Kalvan,13/10/2008,675,Other,NR,NR,NR
Kalvan,14/10/2008,425,Other,NR,NR,NR
Kalvan,16/10/2008,560,Other,NR,NR,NR
Kalvan,17/10/2008,440,Other,NR,NR,NR
Kalvan,18/10/2008,75,Other,NR,NR,NR
Kalvan,20/10/2008,490,Other,NR,NR,NR
Kalvan,21/10/2008,450,Other,NR,NR,NR
Kalvan,23/10/2008,470,Other,NR,NR,NR
Kalyan,09/10/2008,0.1,Other,650,850,750
Kalyan,10/10/2008,0.1,Other,650,850,750
Kalyan,11/10/2008,0.1,Other,650,850,750
Kalyan,15/10/2008,0.1,Other,550,660,575
Kalyan,16/10/2008,0.1,Other,550,650,575
Kalyan,17/10/2008,0.1,Other,550,600,570
Kalyan,18/10/2008,0.1,Other,550,600,575
Kalyan,19/10/2008,0.1,Other,550,600,575
Karad,01/10/2008,40,Other,400,800,700
Karad,06/10/2008,80,Other,200,700,450
Karad,08/10/2008,80,Other,200,700,450
Karad,11/10/2008,70,Other,200,800,650
Karad,16/10/2008,50,Other,200,750,500
Karad,18/10/2008,50,Other,NR,NR,NR
Karad,20/10/2008,50,Other,300,700,500
Karad,22/10/2008,60,Other,NR,NR,NR
Kolhapur,03/10/2008,67.7,Other,400,1000,650
Kolhapur,04/10/2008,304.5,Other,300,900,600
Kolhapur,06/10/2008,319.3,Other,300,900,600
Kolhapur,07/10/2008,376.6,Other,300,900,650
Kolhapur,08/10/2008,304.5,Other,300,850,600
Kolhapur,10/10/2008,342.8,Other,300,850,600
Kolhapur,11/10/2008,76.8,Other,300,900,600
Kolhapur,13/10/2008,341.7,Other,300,900,600
Kolhapur,14/10/2008,437.9,Other,300,800,650
Kolhapur,15/10/2008,300.6,Other,300,800,650
Kolhapur,17/10/2008,213.1,Other,300,850,650
Kolhapur,21/10/2008,247.6,Other,300,750,550
Kolhapur,22/10/2008,195.3,Other,300,800,550
Kolhapur,23/10/2008,298.1,Other,300,700,500
Kolhapur,24/10/2008,137.5,Other,300,750,450
Kolhapur,25/10/2008,147.4,Other,300,800,550
Kolhapur,29/10/2008,403.9,Other,NR,NR,NR
Kolhapur,30/10/2008,188.5,Other,300,800,550
Kolhapur,31/10/2008,22.7,Other,400,950,700
Kopargaon,01/10/2008,367,Other,250,1100,950
Kopargaon,15/10/2008,1033.2,Other,NR,NR,NR
Kopargaon,18/10/2008,709.1,Other,NR,NR,NR
Kopargaon,22/10/2008,398.6,Other,250,800,675
Kurdwadi,03/10/2008,6.5,Other,NR,NR,NR
Kurdwadi,06/10/2008,3.5,Other,NR,NR,NR
Kurdwadi,10/10/2008,0.4,Other,100,470,380
Lasalgaon,01/10/2008,2250,Other,480,851,651
Lasalgaon,03/10/2008,2250,Other,480,851,651
Lasalgaon,13/10/2008,2042,Other,471,852,621
Lasalgaon,14/10/2008,1961.5,Other,353,846,571
Lasalgaon,15/10/2008,1283,Other,251,848,485
Lasalgaon,16/10/2008,1480.5,Other,300,866,551
Lasalgaon,17/10/2008,2460,Other,350,790,571
Lasalgaon(Niphad),01/10/2008,382,Other,501,774,680
Lasalgaon(Niphad),06/10/2008,602.5,Other,501,763,670
Lasalgaon(Niphad),07/10/2008,374.5,Other,465,736,661
Lasalgaon(Niphad),08/10/2008,476,Other,424,741,660
Lasalgaon(Niphad),09/10/2008,425,Other,450,743,670
Lasalgaon(Niphad),13/10/2008,662,Other,350,675,561
