,0
0,"2020-01-01,MUMBAI,100.0"
1,"2020-01-02,MUMBAI,100.0"
2,"2020-01-03,MUMBAI,100.0"
3,"2020-01-04,MUMBAI,80.0"
4,"2020-01-05,MUMBAI,0"
5,"2020-01-06,MUMBAI,80.0"
6,"2020-01-07,MUMBAI,80.0"
7,"2020-01-08,MUMBAI,80.0"
8,"2020-01-09,MUMBAI,60.0"
9,"2020-01-10,MUMBAI,60.0"
10,"2020-01-11,MUMBAI,50.0"
11,"2020-01-12,MUMBAI,0"
12,"2020-01-13,MUMBAI,50.0"
13,"2020-01-14,MUMBAI,50.0"
14,"2020-01-15,MUMBAI,50.0"
15,"2020-01-16,MUMBAI,50.0"
16,"2020-01-17,MUMBAI,50.0"
17,"2020-01-18,MUMBAI,50.0"
18,"2020-01-19,MUMBAI,0"
19,"2020-01-20,MUMBAI,50.0"
20,"2020-01-21,MUMBAI,0"
21,"2020-01-22,MUMBAI,50.0"
22,"2020-01-23,MUMBAI,50.0"
23,"2020-01-24,MUMBAI,50.0"
24,"2020-01-25,MUMBAI,50.0"
25,"2020-01-26,MUMBAI,0"
26,"2020-01-27,MUMBAI,50.0"
27,"2020-01-28,MUMBAI,50.0"
28,"2020-01-29,MUMBAI,40.0"
29,"2020-01-30,MUMBAI,50.0"
30,"2020-01-31,MUMBAI,40.0"
