,0
0,"2020-01-01,KOLKATA,26.0"
1,"2020-01-02,KOLKATA,26.0"
2,"2020-01-03,KOLKATA,28.0"
3,"2020-01-04,KOLKATA,29.0"
4,"2020-01-05,KOLKATA,0"
5,"2020-01-06,KOLKATA,26.0"
6,"2020-01-07,KOLKATA,27.0"
7,"2020-01-08,KOLKATA,0"
8,"2020-01-09,KOLKATA,25.0"
9,"2020-01-10,KOLKATA,26.0"
10,"2020-01-11,KOLKATA,25.0"
11,"2020-01-12,KOLKATA,0"
12,"2020-01-13,KOLKATA,24.0"
13,"2020-01-14,KOLKATA,25.0"
14,"2020-01-15,KOLKATA,26.0"
15,"2020-01-16,KOLKATA,65.0"
16,"2020-01-17,KOLKATA,24.0"
17,"2020-01-18,KOLKATA,23.0"
18,"2020-01-19,KOLKATA,0"
19,"2020-01-20,KOLKATA,25.0"
20,"2020-01-21,KOLKATA,26.0"
21,"2020-01-22,KOLKATA,25.0"
22,"2020-01-23,KOLKATA,0"
23,"2020-01-24,KOLKATA,24.0"
24,"2020-01-25,KOLKATA,24.0"
25,"2020-01-26,KOLKATA,0"
26,"2020-01-27,KOLKATA,22.0"
27,"2020-01-28,KOLKATA,20.0"
28,"2020-01-29,KOLKATA,22.0"
29,"2020-01-30,KOLKATA,23.0"
30,"2020-01-31,KOLKATA,24.0"
