,0
0,"2020-02-01,DELHI,50.0"
1,"2020-02-02,DELHI,0"
2,"2020-02-03,DELHI,50.0"
3,"2020-02-04,DELHI,50.0"
4,"2020-02-05,DELHI,50.0"
5,"2020-02-06,DELHI,45.0"
6,"2020-02-07,DELHI,45.0"
7,"2020-02-08,DELHI,0"
8,"2020-02-09,DELHI,0"
9,"2020-02-10,DELHI,45.0"
10,"2020-02-11,DELHI,40.0"
11,"2020-02-12,DELHI,40.0"
12,"2020-02-13,DELHI,40.0"
13,"2020-02-14,DELHI,40.0"
14,"2020-02-15,DELHI,40.0"
15,"2020-02-16,DELHI,0"
16,"2020-02-17,DELHI,40.0"
17,"2020-02-18,DELHI,40.0"
18,"2020-02-19,DELHI,40.0"
19,"2020-02-20,DELHI,40.0"
20,"2020-02-21,DELHI,40.0"
21,"2020-02-22,DELHI,40.0"
22,"2020-02-23,DELHI,0"
23,"2020-02-24,DELHI,40.0"
24,"2020-02-25,DELHI,40.0"
25,"2020-02-26,DELHI,40.0"
26,"2020-02-27,DELHI,40.0"
27,"2020-02-28,DELHI,40.0"
28,"2020-02-29,DELHI,40.0"
