,0
0,"2020-02-01,Bengaluru,45.0"
1,"2020-02-02,Bengaluru,0"
2,"2020-02-03,Bengaluru,40.0"
3,"2020-02-04,Bengaluru,40.0"
4,"2020-02-05,Bengaluru,40.0"
5,"2020-02-06,Bengaluru,35.0"
6,"2020-02-07,Bengaluru,30.0"
7,"2020-02-08,Bengaluru,30.0"
8,"2020-02-09,Bengaluru,0"
9,"2020-02-10,Bengaluru,35.0"
10,"2020-02-11,Bengaluru,35.0"
11,"2020-02-12,Bengaluru,30.0"
12,"2020-02-13,Bengaluru,30.0"
13,"2020-02-14,Bengaluru,30.0"
14,"2020-02-15,Bengaluru,35.0"
15,"2020-02-16,Bengaluru,0"
16,"2020-02-17,Bengaluru,0"
17,"2020-02-18,Bengaluru,30.0"
18,"2020-02-19,Bengaluru,35.0"
19,"2020-02-20,Bengaluru,28.0"
20,"2020-02-21,Bengaluru,0"
21,"2020-02-22,Bengaluru,35.0"
22,"2020-02-23,Bengaluru,0"
23,"2020-02-24,Bengaluru,30.0"
24,"2020-02-25,Bengaluru,30.0"
25,"2020-02-26,Bengaluru,0"
26,"2020-02-27,Bengaluru,0"
27,"2020-02-28,Bengaluru,0"
28,"2020-02-29,Bengaluru,0"
