,0
0,"2020-03-01,MUMBAI,0"
1,"2020-03-02,MUMBAI,0"
2,"2020-03-03,MUMBAI,25.0"
3,"2020-03-04,MUMBAI,25.0"
4,"2020-03-05,MUMBAI,25.0"
5,"2020-03-06,MUMBAI,25.0"
6,"2020-03-07,MUMBAI,25.0"
7,"2020-03-08,MUMBAI,0"
8,"2020-03-09,MUMBAI,25.0"
9,"2020-03-10,MUMBAI,0"
10,"2020-03-11,MUMBAI,25.0"
11,"2020-03-12,MUMBAI,25.0"
12,"2020-03-13,MUMBAI,25.0"
13,"2020-03-14,MUMBAI,25.0"
14,"2020-03-15,MUMBAI,0"
15,"2020-03-16,MUMBAI,25.0"
16,"2020-03-17,MUMBAI,25.0"
17,"2020-03-18,MUMBAI,25.0"
18,"2020-03-19,MUMBAI,0"
19,"2020-03-20,MUMBAI,25.0"
20,"2020-03-21,MUMBAI,25.0"
21,"2020-03-22,MUMBAI,0"
22,"2020-03-23,MUMBAI,0"
23,"2020-03-24,MUMBAI,0"
24,"2020-03-25,MUMBAI,0"
25,"2020-03-26,MUMBAI,0"
26,"2020-03-27,MUMBAI,0"
27,"2020-03-28,MUMBAI,0"
28,"2020-03-29,MUMBAI,0"
29,"2020-03-30,MUMBAI,0"
30,"2020-03-31,MUMBAI,0"
