,0
0,"2020-02-01,LUCKNOW,15.0"
1,"2020-02-02,LUCKNOW,0"
2,"2020-02-03,LUCKNOW,15.0"
3,"2020-02-04,LUCKNOW,15.0"
4,"2020-02-05,LUCKNOW,15.0"
5,"2020-02-06,LUCKNOW,14.0"
6,"2020-02-07,LUCKNOW,14.0"
7,"2020-02-08,LUCKNOW,0"
8,"2020-02-09,LUCKNOW,0"
9,"2020-02-10,LUCKNOW,14.0"
10,"2020-02-11,LUCKNOW,15.0"
11,"2020-02-12,LUCKNOW,15.0"
12,"2020-02-13,LUCKNOW,15.0"
13,"2020-02-14,LUCKNOW,18.0"
14,"2020-02-15,LUCKNOW,15.0"
15,"2020-02-16,LUCKNOW,0"
16,"2020-02-17,LUCKNOW,14.0"
17,"2020-02-18,LUCKNOW,14.0"
18,"2020-02-19,LUCKNOW,14.0"
19,"2020-02-20,LUCKNOW,14.0"
20,"2020-02-21,LUCKNOW,14.0"
21,"2020-02-22,LUCKNOW,14.0"
22,"2020-02-23,LUCKNOW,0"
23,"2020-02-24,LUCKNOW,14.0"
24,"2020-02-25,LUCKNOW,13.0"
25,"2020-02-26,LUCKNOW,13.0"
26,"2020-02-27,LUCKNOW,14.0"
27,"2020-02-28,LUCKNOW,14.0"
28,"2020-02-29,LUCKNOW,14.0"
