,0
0,"2020-01-01,LUCKNOW,20.0"
1,"2020-01-02,LUCKNOW,20.0"
2,"2020-01-03,LUCKNOW,20.0"
3,"2020-01-04,LUCKNOW,20.0"
4,"2020-01-05,LUCKNOW,0"
5,"2020-01-06,LUCKNOW,20.0"
6,"2020-01-07,LUCKNOW,18.0"
7,"2020-01-08,LUCKNOW,18.0"
8,"2020-01-09,LUCKNOW,18.0"
9,"2020-01-10,LUCKNOW,18.0"
10,"2020-01-11,LUCKNOW,18.0"
11,"2020-01-12,LUCKNOW,0"
12,"2020-01-13,LUCKNOW,16.0"
13,"2020-01-14,LUCKNOW,15.0"
14,"2020-01-15,LUCKNOW,15.0"
15,"2020-01-16,LUCKNOW,18.0"
16,"2020-01-17,LUCKNOW,28.0"
17,"2020-01-18,LUCKNOW,28.0"
18,"2020-01-19,LUCKNOW,0"
19,"2020-01-20,LUCKNOW,22.0"
20,"2020-01-21,LUCKNOW,20.0"
21,"2020-01-22,LUCKNOW,20.0"
22,"2020-01-23,LUCKNOW,20.0"
23,"2020-01-24,LUCKNOW,18.0"
24,"2020-01-25,LUCKNOW,18.0"
25,"2020-01-26,LUCKNOW,0"
26,"2020-01-27,LUCKNOW,18.0"
27,"2020-01-28,LUCKNOW,18.0"
28,"2020-01-29,LUCKNOW,16.0"
29,"2020-01-30,LUCKNOW,15.0"
30,"2020-01-31,LUCKNOW,15.0"
