,0
0,"2020-03-01,LUCKNOW,0"
1,"2020-03-02,LUCKNOW,15.0"
2,"2020-03-03,LUCKNOW,15.0"
3,"2020-03-04,LUCKNOW,16.0"
4,"2020-03-05,LUCKNOW,16.0"
5,"2020-03-06,LUCKNOW,16.0"
6,"2020-03-07,LUCKNOW,16.0"
7,"2020-03-08,LUCKNOW,0"
8,"2020-03-09,LUCKNOW,16.0"
9,"2020-03-10,LUCKNOW,0"
10,"2020-03-11,LUCKNOW,15.0"
11,"2020-03-12,LUCKNOW,15.0"
12,"2020-03-13,LUCKNOW,16.0"
13,"2020-03-14,LUCKNOW,16.0"
14,"2020-03-15,LUCKNOW,0"
15,"2020-03-16,LUCKNOW,16.0"
16,"2020-03-17,LUCKNOW,16.0"
17,"2020-03-18,LUCKNOW,15.0"
18,"2020-03-19,LUCKNOW,15.0"
19,"2020-03-20,LUCKNOW,15.0"
20,"2020-03-21,LUCKNOW,15.0"
21,"2020-03-22,LUCKNOW,0"
22,"2020-03-23,LUCKNOW,0"
23,"2020-03-24,LUCKNOW,0"
24,"2020-03-25,LUCKNOW,0"
25,"2020-03-26,LUCKNOW,0"
26,"2020-03-27,LUCKNOW,0"
27,"2020-03-28,LUCKNOW,0"
28,"2020-03-29,LUCKNOW,0"
29,"2020-03-30,LUCKNOW,0"
30,"2020-03-31,LUCKNOW,0"
