,0
0,"2020-03-01,Bengaluru,0"
1,"2020-03-02,Bengaluru,30.0"
2,"2020-03-03,Bengaluru,30.0"
3,"2020-03-04,Bengaluru,25.0"
4,"2020-03-05,Bengaluru,25.0"
5,"2020-03-06,Bengaluru,25.0"
6,"2020-03-07,Bengaluru,25.0"
7,"2020-03-08,Bengaluru,0"
8,"2020-03-09,Bengaluru,30.0"
9,"2020-03-10,Bengaluru,0"
10,"2020-03-11,Bengaluru,30.0"
11,"2020-03-12,Bengaluru,30.0"
12,"2020-03-13,Bengaluru,30.0"
13,"2020-03-14,Bengaluru,30.0"
14,"2020-03-15,Bengaluru,0"
15,"2020-03-16,Bengaluru,25.0"
16,"2020-03-17,Bengaluru,20.0"
17,"2020-03-18,Bengaluru,25.0"
18,"2020-03-19,Bengaluru,22.0"
19,"2020-03-20,Bengaluru,20.0"
20,"2020-03-21,Bengaluru,0"
21,"2020-03-22,Bengaluru,0"
22,"2020-03-23,Bengaluru,0"
23,"2020-03-24,Bengaluru,0"
24,"2020-03-25,Bengaluru,0"
25,"2020-03-26,Bengaluru,0"
26,"2020-03-27,Bengaluru,0"
27,"2020-03-28,Bengaluru,0"
28,"2020-03-29,Bengaluru,0"
29,"2020-03-30,Bengaluru,0"
30,"2020-03-31,Bengaluru,0"
