,0
0,"2020-02-01,KOLKATA,24.0"
1,"2020-02-02,KOLKATA,0"
2,"2020-02-03,KOLKATA,22.0"
3,"2020-02-04,KOLKATA,21.0"
4,"2020-02-05,KOLKATA,22.0"
5,"2020-02-06,KOLKATA,21.0"
6,"2020-02-07,KOLKATA,21.0"
7,"2020-02-08,KOLKATA,22.0"
8,"2020-02-09,KOLKATA,0"
9,"2020-02-10,KOLKATA,20.0"
10,"2020-02-11,KOLKATA,19.0"
11,"2020-02-12,KOLKATA,20.0"
12,"2020-02-13,KOLKATA,19.0"
13,"2020-02-14,KOLKATA,19.0"
14,"2020-02-15,KOLKATA,19.0"
15,"2020-02-16,KOLKATA,0"
16,"2020-02-17,KOLKATA,18.0"
17,"2020-02-18,KOLKATA,17.0"
18,"2020-02-19,KOLKATA,16.0"
19,"2020-02-20,KOLKATA,17.0"
20,"2020-02-21,KOLKATA,18.0"
21,"2020-02-22,KOLKATA,16.0"
22,"2020-02-23,KOLKATA,0"
23,"2020-02-24,KOLKATA,17.0"
24,"2020-02-25,KOLKATA,17.0"
25,"2020-02-26,KOLKATA,16.0"
26,"2020-02-27,KOLKATA,16.0"
27,"2020-02-28,KOLKATA,15.0"
28,"2020-02-29,KOLKATA,16.0"
