,0
0,"2020-02-01,MUMBAI,40.0"
1,"2020-02-02,MUMBAI,0"
2,"2020-02-03,MUMBAI,40.0"
3,"2020-02-04,MUMBAI,40.0"
4,"2020-02-05,MUMBAI,30.0"
5,"2020-02-06,MUMBAI,30.0"
6,"2020-02-07,MUMBAI,20.0"
7,"2020-02-08,MUMBAI,30.0"
8,"2020-02-09,MUMBAI,0"
9,"2020-02-10,MUMBAI,30.0"
10,"2020-02-11,MUMBAI,30.0"
11,"2020-02-12,MUMBAI,30.0"
12,"2020-02-13,MUMBAI,30.0"
13,"2020-02-14,MUMBAI,30.0"
14,"2020-02-15,MUMBAI,25.0"
15,"2020-02-16,MUMBAI,0"
16,"2020-02-17,MUMBAI,25.0"
17,"2020-02-18,MUMBAI,25.0"
18,"2020-02-19,MUMBAI,25.0"
19,"2020-02-20,MUMBAI,25.0"
20,"2020-02-21,MUMBAI,0"
21,"2020-02-22,MUMBAI,25.0"
22,"2020-02-23,MUMBAI,0"
23,"2020-02-24,MUMBAI,25.0"
24,"2020-02-25,MUMBAI,25.0"
25,"2020-02-26,MUMBAI,0"
26,"2020-02-27,MUMBAI,25.0"
27,"2020-02-28,MUMBAI,25.0"
28,"2020-02-29,MUMBAI,0"
