,0
0,"2020-06-01,Bengaluru,15.0"
1,"2020-06-02,Bengaluru,15.0"
2,"2020-06-03,Bengaluru,15.0"
3,"2020-06-04,Bengaluru,15.0"
4,"2020-06-05,Bengaluru,15.0"
5,"2020-06-06,Bengaluru,15.0"
6,"2020-06-07,Bengaluru,0"
7,"2020-06-08,Bengaluru,14.0"
8,"2020-06-09,Bengaluru,14.0"
9,"2020-06-10,Bengaluru,14.0"
10,"2020-06-11,Bengaluru,14.0"
11,"2020-06-12,Bengaluru,14.0"
12,"2020-06-13,Bengaluru,14.0"
13,"2020-06-14,Bengaluru,0"
14,"2020-06-15,Bengaluru,14.0"
15,"2020-06-16,Bengaluru,15.0"
16,"2020-06-17,Bengaluru,15.0"
17,"2020-06-18,Bengaluru,15.0"
18,"2020-06-19,Bengaluru,15.0"
19,"2020-06-20,Bengaluru,15.0"
20,"2020-06-21,Bengaluru,0"
21,"2020-06-22,Bengaluru,15.0"
22,"2020-06-23,Bengaluru,15.0"
23,"2020-06-24,Bengaluru,0"
24,"2020-06-25,Bengaluru,14.0"
25,"2020-06-26,Bengaluru,13.0"
26,"2020-06-27,Bengaluru,13.0"
27,"2020-06-28,Bengaluru,0"
28,"2020-06-29,Bengaluru,13.0"
29,"2020-06-30,Bengaluru,13.0"
