,0
0,"2020-03-01,DELHI,0"
1,"2020-03-02,DELHI,40.0"
2,"2020-03-03,DELHI,40.0"
3,"2020-03-04,DELHI,40.0"
4,"2020-03-05,DELHI,35.0"
5,"2020-03-06,DELHI,35.0"
6,"2020-03-07,DELHI,35.0"
7,"2020-03-08,DELHI,0"
8,"2020-03-09,DELHI,35.0"
9,"2020-03-10,DELHI,0"
10,"2020-03-11,DELHI,35.0"
11,"2020-03-12,DELHI,35.0"
12,"2020-03-13,DELHI,35.0"
13,"2020-03-14,DELHI,35.0"
14,"2020-03-15,DELHI,0"
15,"2020-03-16,DELHI,35.0"
16,"2020-03-17,DELHI,35.0"
17,"2020-03-18,DELHI,35.0"
18,"2020-03-19,DELHI,0"
19,"2020-03-20,DELHI,0"
20,"2020-03-21,DELHI,0"
21,"2020-03-22,DELHI,0"
22,"2020-03-23,DELHI,0"
23,"2020-03-24,DELHI,0"
24,"2020-03-25,DELHI,0"
25,"2020-03-26,DELHI,0"
26,"2020-03-27,DELHI,0"
27,"2020-03-28,DELHI,0"
28,"2020-03-29,DELHI,0"
29,"2020-03-30,DELHI,0"
30,"2020-03-31,DELHI,0"
