,0
0,"2020-03-01,KOLKATA,0"
1,"2020-03-02,KOLKATA,17.0"
2,"2020-03-03,KOLKATA,17.0"
3,"2020-03-04,KOLKATA,17.0"
4,"2020-03-05,KOLKATA,17.0"
5,"2020-03-06,KOLKATA,16.0"
6,"2020-03-07,KOLKATA,18.0"
7,"2020-03-08,KOLKATA,0"
8,"2020-03-09,KOLKATA,0"
9,"2020-03-10,KOLKATA,0"
10,"2020-03-11,KOLKATA,17.0"
11,"2020-03-12,KOLKATA,18.0"
12,"2020-03-13,KOLKATA,18.0"
13,"2020-03-14,KOLKATA,17.0"
14,"2020-03-15,KOLKATA,0"
15,"2020-03-16,KOLKATA,18.0"
16,"2020-03-17,KOLKATA,19.0"
17,"2020-03-18,KOLKATA,19.0"
18,"2020-03-19,KOLKATA,17.0"
19,"2020-03-20,KOLKATA,17.0"
20,"2020-03-21,KOLKATA,19.0"
21,"2020-03-22,KOLKATA,0"
22,"2020-03-23,KOLKATA,0"
23,"2020-03-24,KOLKATA,0"
24,"2020-03-25,KOLKATA,0"
25,"2020-03-26,KOLKATA,0"
26,"2020-03-27,KOLKATA,0"
27,"2020-03-28,KOLKATA,0"
28,"2020-03-29,KOLKATA,0"
29,"2020-03-30,KOLKATA,0"
30,"2020-03-31,KOLKATA,0"
