,0
0,"2020-01-01,Bengaluru,60.0"
1,"2020-01-02,Bengaluru,60.0"
2,"2020-01-03,Bengaluru,55.0"
3,"2020-01-04,Bengaluru,0"
4,"2020-01-05,Bengaluru,0"
5,"2020-01-06,Bengaluru,0"
6,"2020-01-07,Bengaluru,0"
7,"2020-01-08,Bengaluru,70.0"
8,"2020-01-09,Bengaluru,0"
9,"2020-01-10,Bengaluru,0"
10,"2020-01-11,Bengaluru,70.0"
11,"2020-01-12,Bengaluru,0"
12,"2020-01-13,Bengaluru,50.0"
13,"2020-01-14,Bengaluru,0"
14,"2020-01-15,Bengaluru,0"
15,"2020-01-16,Bengaluru,50.0"
16,"2020-01-17,Bengaluru,60.0"
17,"2020-01-18,Bengaluru,60.0"
18,"2020-01-19,Bengaluru,0"
19,"2020-01-20,Bengaluru,60.0"
20,"2020-01-21,Bengaluru,65.0"
21,"2020-01-22,Bengaluru,0"
22,"2020-01-23,Bengaluru,60.0"
23,"2020-01-24,Bengaluru,50.0"
24,"2020-01-25,Bengaluru,50.0"
25,"2020-01-26,Bengaluru,0"
26,"2020-01-27,Bengaluru,50.0"
27,"2020-01-28,Bengaluru,45.0"
28,"2020-01-29,Bengaluru,45.0"
29,"2020-01-30,Bengaluru,40.0"
30,"2020-01-31,Bengaluru,40.0"
