,0
0,"2020-06-01,MUMBAI,15.0"
1,"2020-06-02,MUMBAI,15.0"
2,"2020-06-03,MUMBAI,15.0"
3,"2020-06-04,MUMBAI,15.0"
4,"2020-06-05,MUMBAI,15.0"
5,"2020-06-06,MUMBAI,15.0"
6,"2020-06-07,MUMBAI,0"
7,"2020-06-08,MUMBAI,20.0"
8,"2020-06-09,MUMBAI,25.0"
9,"2020-06-10,MUMBAI,25.0"
10,"2020-06-11,MUMBAI,25.0"
11,"2020-06-12,MUMBAI,25.0"
12,"2020-06-13,MUMBAI,25.0"
13,"2020-06-14,MUMBAI,0"
14,"2020-06-15,MUMBAI,15.0"
15,"2020-06-16,MUMBAI,25.0"
16,"2020-06-17,MUMBAI,25.0"
17,"2020-06-18,MUMBAI,25.0"
18,"2020-06-19,MUMBAI,0"
19,"2020-06-20,MUMBAI,25.0"
20,"2020-06-21,MUMBAI,0"
21,"2020-06-22,MUMBAI,25.0"
22,"2020-06-23,MUMBAI,25.0"
23,"2020-06-24,MUMBAI,25.0"
24,"2020-06-25,MUMBAI,25.0"
25,"2020-06-26,MUMBAI,25.0"
26,"2020-06-27,MUMBAI,25.0"
27,"2020-06-28,MUMBAI,0"
28,"2020-06-29,MUMBAI,25.0"
29,"2020-06-30,MUMBAI,25.0"
