,0
0,"2020-07-01,MUMBAI,25.0"
1,"2020-07-02,MUMBAI,20.0"
2,"2020-07-03,MUMBAI,25.0"
3,"2020-07-04,MUMBAI,25.0"
4,"2020-07-05,MUMBAI,0"
5,"2020-07-06,MUMBAI,25.0"
6,"2020-07-07,MUMBAI,0"
7,"2020-07-08,MUMBAI,25.0"
8,"2020-07-09,MUMBAI,25.0"
9,"2020-07-10,MUMBAI,20.0"
10,"2020-07-11,MUMBAI,20.0"
11,"2020-07-12,MUMBAI,0"
12,"2020-07-13,MUMBAI,20.0"
13,"2020-07-14,MUMBAI,20.0"
14,"2020-07-15,MUMBAI,20.0"
15,"2020-07-16,MUMBAI,20.0"
16,"2020-07-17,MUMBAI,20.0"
17,"2020-07-18,MUMBAI,20.0"
18,"2020-07-19,MUMBAI,0"
19,"2020-07-20,MUMBAI,20.0"
20,"2020-07-21,MUMBAI,20.0"
21,"2020-07-22,MUMBAI,200.0"
22,"2020-07-23,MUMBAI,20.0"
23,"2020-07-24,MUMBAI,20.0"
24,"2020-07-25,MUMBAI,20.0"
25,"2020-07-26,MUMBAI,0"
26,"2020-07-27,MUMBAI,20.0"
27,"2020-07-28,MUMBAI,20.0"
28,"2020-07-29,MUMBAI,20.0"
29,"2020-07-30,MUMBAI,20.0"
30,"2020-07-31,MUMBAI,0"
