,0
0,"2020-01-01,DELHI,90.0"
1,"2020-01-02,DELHI,90.0"
2,"2020-01-03,DELHI,90.0"
3,"2020-01-04,DELHI,90.0"
4,"2020-01-05,DELHI,0"
5,"2020-01-06,DELHI,90.0"
6,"2020-01-07,DELHI,85.0"
7,"2020-01-08,DELHI,85.0"
8,"2020-01-09,DELHI,80.0"
9,"2020-01-10,DELHI,70.0"
10,"2020-01-11,DELHI,65.0"
11,"2020-01-12,DELHI,0"
12,"2020-01-13,DELHI,65.0"
13,"2020-01-14,DELHI,65.0"
14,"2020-01-15,DELHI,65.0"
15,"2020-01-16,DELHI,65.0"
16,"2020-01-17,DELHI,60.0"
17,"2020-01-18,DELHI,60.0"
18,"2020-01-19,DELHI,0"
19,"2020-01-20,DELHI,70.0"
20,"2020-01-21,DELHI,65.0"
21,"2020-01-22,DELHI,65.0"
22,"2020-01-23,DELHI,60.0"
23,"2020-01-24,DELHI,60.0"
24,"2020-01-25,DELHI,60.0"
25,"2020-01-26,DELHI,0"
26,"2020-01-27,DELHI,60.0"
27,"2020-01-28,DELHI,60.0"
28,"2020-01-29,DELHI,50.0"
29,"2020-01-30,DELHI,50.0"
30,"2020-01-31,DELHI,50.0"
