,0.0
2006-01-01,411.0
2006-01-02,411.0
2006-01-03,380.0
2006-01-04,360.0
2006-01-05,361.0
2006-01-06,345.75
2006-01-07,330.5
2006-01-08,315.25
2006-01-09,300.0
2006-01-10,335.0
2006-01-11,322.5
2006-01-12,310.0
2006-01-13,315.25
2006-01-14,320.5
2006-01-15,325.75
2006-01-16,331.0
2006-01-17,330.0
2006-01-18,310.0
2006-01-19,290.0
2006-01-20,287.625
2006-01-21,285.25
2006-01-22,282.875
2006-01-23,280.5
2006-01-24,278.125
2006-01-25,275.75
2006-01-26,273.375
2006-01-27,271.0
2006-01-28,264.3333333333333
2006-01-29,257.6666666666667
2006-01-30,251.0
2006-01-31,249.75
2006-02-01,248.5
2006-02-02,247.25
2006-02-03,246.0
2006-02-04,244.75
2006-02-05,243.5
2006-02-06,242.25
2006-02-07,241.0
2006-02-08,238.7142857142857
2006-02-09,236.42857142857144
2006-02-10,234.14285714285717
2006-02-11,231.85714285714286
2006-02-12,229.57142857142856
2006-02-13,227.28571428571428
2006-02-14,225.0
2006-02-15,220.0
2006-02-16,221.8333333333333
2006-02-17,223.66666666666663
2006-02-18,225.5
2006-02-19,227.3333333333333
2006-02-20,229.16666666666663
2006-02-21,231.0
2006-02-22,232.9268292682927
2006-02-23,234.85365853658539
2006-02-24,236.78048780487805
2006-02-25,238.70731707317074
2006-02-26,240.6341463414634
2006-02-27,242.5609756097561
2006-02-28,244.48780487804882
2006-03-01,246.41463414634143
2006-03-02,248.3414634146341
2006-03-03,250.2682926829268
2006-03-04,252.19512195121948
2006-03-05,254.12195121951214
2006-03-06,256.0487804878049
2006-03-07,257.9756097560976
2006-03-08,259.90243902439016
2006-03-09,261.8292682926829
2006-03-10,263.7560975609756
2006-03-11,265.6829268292683
2006-03-12,267.609756097561
2006-03-13,269.53658536585357
2006-03-14,271.4634146341463
2006-03-15,273.390243902439
2006-03-16,275.3170731707317
2006-03-17,277.2439024390244
2006-03-18,279.1707317073171
2006-03-19,281.09756097560984
2006-03-20,283.02439024390236
2006-03-21,284.9512195121951
2006-03-22,286.8780487804878
2006-03-23,288.8048780487805
2006-03-24,290.7317073170732
2006-03-25,292.6585365853658
2006-03-26,294.58536585365846
2006-03-27,296.51219512195115
2006-03-28,298.4390243902439
2006-03-29,300.36585365853665
2006-03-30,302.2926829268293
2006-03-31,304.219512195122
2006-04-01,306.1463414634146
2006-04-02,308.0731707317073
2006-04-03,310.0
2006-04-04,300.0
2006-04-05,293.3333333333333
2006-04-06,286.6666666666667
2006-04-07,280.0
2006-04-08,278.3333333333333
2006-04-09,276.6666666666667
2006-04-10,275.0
2006-04-11,245.0
2006-04-12,215.0
2006-04-13,240.0
2006-04-14,250.0
2006-04-15,253.75
2006-04-16,257.5
2006-04-17,261.25
2006-04-18,265.0
2006-04-19,245.0
2006-04-20,281.0
2006-04-21,270.0
2006-04-22,270.0
2006-04-23,270.0
2006-04-24,270.0
2006-04-25,269.5
2006-04-26,269.0
2006-04-27,268.5
2006-04-28,268.0
2006-04-29,267.5
2006-04-30,267.0
2006-05-01,266.5
2006-05-02,266.0
2006-05-03,265.5
2006-05-04,265.0
2006-05-05,264.5
2006-05-06,264.0
2006-05-07,263.5
2006-05-08,263.0
2006-05-09,262.5
2006-05-10,262.0
2006-05-11,261.5
2006-05-12,261.0
2006-05-13,260.5
2006-05-14,260.0
2006-05-15,259.5
2006-05-16,259.0
2006-05-17,258.5
2006-05-18,258.0
2006-05-19,257.5
2006-05-20,257.0
2006-05-21,256.5
2006-05-22,256.0
2006-05-23,255.5
2006-05-24,255.0
2006-05-25,256.53846153846155
2006-05-26,258.0769230769231
2006-05-27,259.61538461538464
2006-05-28,261.15384615384613
2006-05-29,262.6923076923077
2006-05-30,264.23076923076917
2006-05-31,265.76923076923083
2006-06-01,267.3076923076923
2006-06-02,268.84615384615387
2006-06-03,270.38461538461536
2006-06-04,271.9230769230769
2006-06-05,273.46153846153845
2006-06-06,275.0
2006-06-07,278.8235294117647
2006-06-08,282.64705882352933
2006-06-09,286.4705882352941
2006-06-10,290.29411764705884
2006-06-11,294.11764705882354
2006-06-12,297.9411764705883
2006-06-13,301.76470588235287
2006-06-14,305.5882352941176
