2008-03-13,2008-04-24,INFLATION
2008-12-16,2009-01-27,WEATHER
2009-03-16,2009-04-28,no
2009-05-20,2009-07-02,no
2009-11-28,2010-01-09,HOARDING
2010-05-09,2010-06-21,no
2010-12-19,2011-01-30,HOARDING
2011-05-01,2011-06-13,no
2011-06-23,2011-08-05,no
2011-12-06,2012-01-17,WEATHER
2012-03-01,2012-04-13,no
2012-12-01,2013-01-13,HOARDING
2013-03-14,2013-04-26,no
2013-03-21,2013-05-02,NAVRATRA
2013-12-21,2014-02-01,HOARDING
2014-06-04,2014-07-17,no
2015-03-15,2015-04-26,WEATHER
2015-06-18,2015-07-31,no
2017-03-28,2017-05-09,NAVRATRA
2007-12-12,2008-01-23,supply
2008-03-07,2008-04-19,no
2008-04-26,2008-06-07,supply
2008-07-30,2008-09-11,no
2008-12-25,2009-02-05,supply
2009-05-20,2009-07-02,no
2010-03-01,2010-04-12,supply
2010-05-26,2010-07-08,no
2011-12-03,2012-01-14,supply
2013-12-12,2014-01-23,supply
2014-05-25,2014-07-07,no
2014-12-28,2015-02-08,supply
2015-05-08,2015-06-20,no
2015-07-10,2015-08-22,no
2016-11-27,2017-01-08,supply
2017-05-09,2017-06-21,no
2017-12-03,2018-01-14,supply
2018-05-27,2018-07-09,no
