DATE,MANDI_ANOMALIES,CENTRE_ANOMALIES,SUM,PRICE_DISPERSION,COMMODITY
2016-01-01,0,0,0,0.049930582613035235,TOMATO
2016-01-01,0,0,0,0.049930582613035235,TOMATO
2016-02-01,0,0,0,0.04887819545763505,TOMATO
2016-02-01,0,0,0,0.04887819545763505,TOMATO
2016-03-01,2,1,3,0.009866825283092113,GREEN GRAM DAL (MOONG DAL)
2016-03-01,1,1,2,0.04421415732924054,TOMATO
2016-04-01,4,3,7,0.03651610841871284,TOMATO
2016-04-01,7,3,10,0.003240078412865186,MUSTARD OIL
2016-05-01,5,6,11,0.03294506677849334,TOMATO
2016-05-01,9,8,17,0.012170517660505285,GREEN GRAM DAL (MOONG DAL)
2016-06-01,8,12,20,0.0324934411725095,TOMATO
2016-06-01,13,12,25,0.013718253392699156,GREEN GRAM DAL (MOONG DAL)
2016-07-01,15,15,30,0.014831211225188571,GREEN GRAM DAL (MOONG DAL)
2016-07-01,10,16,26,0.035420622642375714,TOMATO
2016-08-01,10,20,30,0.04208736263419571,TOMATO
2016-08-01,17,15,32,0.016273290317468842,GREEN GRAM DAL (MOONG DAL)
2016-09-01,10,22,32,0.047887351514004646,TOMATO
2016-09-01,10,22,32,0.047887351514004646,TOMATO
2016-10-01,12,22,34,0.04939149569847556,TOMATO
2016-10-01,12,22,34,0.04939149569847556,TOMATO
2016-11-01,28,11,39,0.0017015329259103286,MUSTARD OIL
2016-11-01,10,22,32,0.05451169175924505,TOMATO
2016-12-01,9,22,31,0.057849861541879814,TOMATO
2016-12-01,29,9,38,0.0009735223426764856,MUSTARD OIL
2017-01-01,9,21,30,0.06079432527605949,TOMATO
2017-01-01,28,6,34,0.0007449293855136714,MUSTARD OIL
2017-02-01,6,20,26,0.0623855803149328,TOMATO
2017-02-01,16,17,33,0.0201782036165859,MASUR DAL
2017-03-01,6,21,27,0.05942856942606291,TOMATO
2017-03-01,16,18,34,0.021503824273876572,MASUR DAL
2017-04-01,8,21,29,0.054753198347233134,TOMATO
2017-04-01,17,20,37,0.022715294751970327,MASUR DAL
2017-05-01,20,22,42,0.019242924610088454,GREEN GRAM DAL (MOONG DAL)
2017-05-01,7,23,30,0.052104158392147264,TOMATO
2017-06-01,10,24,34,0.049677331593902016,TOMATO
2017-06-01,24,26,50,0.018998639878935956,GREEN GRAM DAL (MOONG DAL)
2017-07-01,29,30,59,0.018604527795928243,GREEN GRAM DAL (MOONG DAL)
2017-07-01,9,23,32,0.046540563876428145,POTATO
2017-08-01,31,31,62,0.017451941910181984,GREEN GRAM DAL (MOONG DAL)
2017-08-01,9,24,33,0.045642909318769145,POTATO
2017-09-01,31,29,60,0.016055643914373956,GREEN GRAM DAL (MOONG DAL)
2017-09-01,10,25,35,0.044025246761527685,POTATO
2017-10-01,10,26,36,0.04134210175579915,POTATO
2017-10-01,41,26,67,0.0012601072086088605,MUSTARD OIL
2017-11-01,10,25,35,0.039082049509000835,POTATO
2017-11-01,41,33,74,0.0013143584830435603,MUSTARD OIL
2017-12-01,39,33,72,0.0014271708456114571,MUSTARD OIL
2017-12-01,10,24,34,0.03837012299953916,POTATO
2018-01-01,10,22,32,0.037298408895829936,POTATO
2018-01-01,42,36,78,0.0012803778091930714,MUSTARD OIL
2018-02-01,10,19,29,0.03699907826554218,POTATO
2018-02-01,40,32,72,0.0013107871598256142,MUSTARD OIL
2018-03-01,9,20,29,0.03443350021003665,POTATO
2018-03-01,42,27,69,0.0009463568177799857,MUSTARD OIL
2018-04-01,22,37,59,0.03451351196748887,TOMATO
2018-04-01,42,25,67,0.000420000254912713,MUSTARD OIL
2018-05-01,42,20,62,0.0004985250641083701,MUSTARD OIL
2018-05-01,19,32,51,0.03472498563447873,TOMATO
2018-06-01,13,28,41,0.03628865875833837,TOMATO
2018-06-01,42,18,60,0.0005634624941273273,MUSTARD OIL
2018-07-01,9,25,34,0.04139551237536695,TOMATO
2018-07-01,35,14,49,0.0010655840292743987,MUSTARD OIL
2018-08-01,10,26,36,0.03949008139897896,TOMATO
2018-08-01,30,13,43,0.0018412537396251417,MUSTARD OIL
2018-09-01,13,27,40,0.037032004855987684,TOMATO
2018-09-01,25,21,46,0.002419089245795899,MUSTARD OIL
2018-10-01,17,25,42,0.03703881032392936,TOMATO
2018-10-01,17,28,45,0.0029370274520259276,MUSTARD OIL
2018-11-01,21,21,42,0.03944489682594244,TOMATO
2018-11-01,14,35,49,0.0033517482490986994,MUSTARD OIL
2018-12-01,22,21,43,0.041471571893060964,TOMATO
2018-12-01,14,42,56,0.0034754427746964424,MUSTARD OIL
2019-01-01,13,39,52,0.003541698727066414,MUSTARD OIL
2019-01-01,23,23,46,0.0421073494329414,TOMATO
2019-02-01,15,32,47,0.0031256248298724997,MUSTARD OIL
2019-02-01,19,23,42,0.039785173413408245,TOMATO
2019-03-01,17,28,45,0.0026374585426813288,MUSTARD OIL
2019-03-01,15,25,40,0.04027518882564699,TOMATO
2019-04-01,11,27,38,0.038641290255920106,TOMATO
2019-04-01,18,22,40,0.0024251285487069,MUSTARD OIL
2019-05-01,18,19,37,0.0023806700327601714,MUSTARD OIL
2019-05-01,7,27,34,0.03492741295010888,TOMATO
2019-06-01,6,32,38,0.03059406822965687,TOMATO
2019-06-01,6,32,38,0.03059406822965687,TOMATO
2019-07-01,11,37,48,0.029707955879494995,TOMATO
2019-07-01,11,37,48,0.029707955879494995,TOMATO
2019-08-01,14,39,53,0.029490479922068484,TOMATO
2019-08-01,14,39,53,0.029490479922068484,TOMATO
2019-09-01,15,41,56,0.029853417413227033,TOMATO
2019-09-01,15,41,56,0.029853417413227033,TOMATO
2019-10-01,17,38,55,0.0286889857718996,TOMATO
2019-10-01,24,33,57,0.004084092084026185,GREEN GRAM DAL (MOONG DAL)
2019-11-01,15,38,53,0.030999593009644517,TOMATO
2019-11-01,24,34,58,0.005080675563214928,GREEN GRAM DAL (MOONG DAL)
2019-12-01,12,40,52,0.03240191842056932,TOMATO
2019-12-01,25,34,59,0.005690341447115956,GREEN GRAM DAL (MOONG DAL)
