DATE,MANDI_ANOMALIES,CENTRE_ANOMALIES,SUM,PRICE_DISPERSION,COMMODITY
2020-01-01,29,37,66,0.006260716915175328,GREEN GRAM DAL (MOONG DAL)
2020-01-01,10,38,48,0.033388303760959984,TOMATO
2020-02-01,10,35,45,0.03168969403529231,TOMATO
2020-02-01,32,39,71,0.0064124613786908,GREEN GRAM DAL (MOONG DAL)
2020-03-01,8,32,40,0.03123152178149994,TOMATO
2020-03-01,33,41,74,0.006601335271524186,GREEN GRAM DAL (MOONG DAL)
2020-04-01,9,27,36,0.031087368291226943,TOMATO
2020-04-01,37,45,82,0.007079727705542243,GREEN GRAM DAL (MOONG DAL)
2020-05-01,35,43,78,0.008153940324356557,GREEN GRAM DAL (MOONG DAL)
2020-05-01,9,24,33,0.031159948996506003,TOMATO
2020-06-01,13,23,36,0.031808060988981805,TOMATO
2020-06-01,38,44,82,0.008554967887594985,GREEN GRAM DAL (MOONG DAL)
2020-07-01,16,21,37,0.03272858387812593,TOMATO
2020-07-01,40,42,82,0.00911992890765993,GREEN GRAM DAL (MOONG DAL)
2020-08-01,18,22,40,0.03560144111514491,TOMATO
2020-08-01,41,41,82,0.009644125938688658,GREEN GRAM DAL (MOONG DAL)
2020-09-01,21,27,48,0.037507237651671264,TOMATO
2020-09-01,44,40,84,0.010638296184328386,GREEN GRAM DAL (MOONG DAL)
2020-10-01,20,31,51,0.037849983953476225,TOMATO
2020-10-01,43,38,81,0.011462032723659116,GREEN GRAM DAL (MOONG DAL)
2020-11-01,16,34,50,0.037584965030112,TOMATO
2020-11-01,40,42,82,0.003134028578463357,MUSTARD OIL
2020-12-01,14,36,50,0.03911315767427677,TOMATO
2020-12-01,40,42,82,0.004046685667653528,MUSTARD OIL
2021-01-01,41,42,83,0.005035562043524357,MUSTARD OIL
2021-01-01,12,34,46,0.03994464896040146,TOMATO
2021-02-01,11,34,45,0.037748772012492715,TOMATO
2021-02-01,40,41,81,0.005088205294998629,MUSTARD OIL
2021-03-01,8,40,48,0.0390728679235029,POTATO
2021-03-01,33,36,69,0.005279328708582157,MUSTARD OIL
2021-04-01,8,36,44,0.04056848217993999,POTATO
2021-04-01,32,34,66,0.005845327233192815,MUSTARD OIL
2021-05-01,8,29,37,0.04149607545261071,POTATO
2021-05-01,31,31,62,0.006889370359936029,MUSTARD OIL
2021-06-01,33,34,67,0.007964822206544844,MUSTARD OIL
2021-06-01,5,26,31,0.04364390464985515,POTATO
