DATE,DISPERSION
2012-03-01,0.0061149513279874
2013-03-01,0.0052146799499315
2013-05-01,0.0053839881949618
2013-06-01,0.0060310165426637
2013-07-01,0.0066839003258324
2013-09-01,0.0066839003258324
2015-02-01,0.006082387867091
2015-03-01,0.0056483966259247
2016-03-01,0.0059674830509026
2017-08-01,0.0028668135185438
2017-09-01,0.0037242734038801
2018-07-01,0.00438160220691
2018-08-01,0.0058917028835773
2019-10-01,0.005433539421476
2019-11-01,0.0052487896037015
2020-07-01,0.0045581076190515
2020-12-01,0.0075661804401587
2021-01-01,0.0071889919161976
2021-04-01,0.0073472750675786
2021-05-01,0.01157789239347
2021-06-01,0.0120920173909521
