MANDINAME,STATENAME,VOLATILITY
HYDERABAD,ANDHRA PRADESH,0.07310903187588967
CUTTACK,ODISHA,0.01882514742582474
VIJAYWADA,ANDHRA PRADESH,0.018382372618589708
BHUBANESHWAR,ODISHA,0.016372601842910114
AVERAGE,,0.015126560930430516
MUMBAI,MAHARASHTRA,0.014189064731006262
TIRUPATHI,ANDHRA PRADESH,0.010223662428685849
BALASORE,ODISHA,0.00877722391087722
SAMBALPUR,ODISHA,0.004079988736188031
BERHAMPUR,ODISHA,0.0024330766647640786
KARIMNAGAR,ANDHRA PRADESH,0.0
