Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Achalda,02/07/2012,13,Desi,1040,1080,1060
Achalda,03/07/2012,12.5,Desi,1060,1080,1070
Achalda,04/07/2012,10,Desi,1070,1090,1080
Achalda,05/07/2012,12.5,Desi,1060,1080,1070
Achalda,06/07/2012,12,Desi,1070,1090,1080
Achalda,07/07/2012,11,Desi,1070,1100,1090
Achalda,09/07/2012,12.5,Desi,1060,1090,1080
Achalda,10/07/2012,12,Desi,1080,1110,1100
Achalda,11/07/2012,13,Desi,1080,1120,1110
Achalda,12/07/2012,13,Desi,1100,1130,1120
Achalda,13/07/2012,12,Desi,1120,1140,1130
Achalda,14/07/2012,13,Desi,1120,1160,1140
Achalda,16/07/2012,12.5,Desi,1110,1140,1130
Achalda,17/07/2012,13,Desi,1100,1140,1120
Achalda,19/07/2012,12,Desi,1120,1150,1130
Achalda,20/07/2012,13.5,Desi,1130,1160,1140
Achalda,21/07/2012,14,Desi,1130,1170,1150
Achalda,23/07/2012,13,Desi,1115,1150,1130
Achalda,24/07/2012,12,Desi,1160,1190,1170
Achalda,25/07/2012,12.5,Desi,1170,1200,1180
Achalda,26/07/2012,12,Desi,1170,1210,1190
Achalda,27/07/2012,13,Desi,1200,1220,1210
Achalda,28/07/2012,12,Desi,1200,1235,1220
Achalda,30/07/2012,13.5,Desi,1200,1220,1210
Achalda,31/07/2012,15,Desi,1180,1220,1200
Achnera,29/07/2012,100,Potato,NR,NR,1120
Agra,02/07/2012,880,Other,950,1050,1000
Agra,03/07/2012,830,Other,950,1100,1020
Agra,04/07/2012,860,Other,950,1050,1000
Agra,05/07/2012,845,Other,1000,1020,1010
Agra,06/07/2012,820,Other,1000,1040,1020
Agra,07/07/2012,800,Other,1000,1050,1025
Agra,09/07/2012,750,Other,1000,1100,1060
Agra,10/07/2012,910,Other,1020,1060,1040
Agra,11/07/2012,990,Other,1000,1100,1040
Agra,12/07/2012,980,Other,1020,1080,1050
Agra,13/07/2012,1100,Other,1000,1060,1045
Agra,14/07/2012,1050,Other,1000,1100,1050
Agra,15/07/2012,1030,Other,1050,1070,1060
Agra,16/07/2012,1060,Other,1000,1150,1055
Agra,17/07/2012,1020,Potato,NR,NR,1050
Agra,18/07/2012,1100,Potato,NR,NR,1045
Agra,20/07/2012,1060,Potato,NR,NR,1170
Agra,21/07/2012,1115,Potato,NR,NR,1160
Agra,22/07/2012,1150,Potato,NR,NR,1150
Agra,23/07/2012,1125,Potato,NR,NR,1170
Agra,24/07/2012,1110,Potato,NR,NR,1180
Agra,25/07/2012,1160,Potato,NR,NR,1175
Agra,26/07/2012,1190,Potato,NR,NR,1185
Agra,27/07/2012,1215,Potato,NR,NR,1180
Agra,28/07/2012,1200,Potato,NR,NR,1190
Agra,30/07/2012,1180,Potato,NR,NR,1200
Ajuha,02/07/2012,15,Badshah,NR,NR,1050
Ajuha,05/07/2012,18.5,Badshah,NR,NR,1065
Ajuha,09/07/2012,16.5,Badshah,NR,NR,1065
Ajuha,12/07/2012,15.5,Badshah,NR,NR,1100
Ajuha,16/07/2012,17,Badshah,NR,NR,1100
Ajuha,19/07/2012,16.5,Badshah,NR,NR,1150
Ajuha,23/07/2012,14.5,Badshah,NR,NR,1200
Ajuha,26/07/2012,15.5,Badshah,NR,NR,1200
Ajuha,30/07/2012,16.5,Badshah,NR,NR,1250
Akbarpur,01/07/2012,180,Other,1020,1050,1040
Akbarpur,02/07/2012,170,Other,1030,1050,1040
Akbarpur,03/07/2012,140,Other,1030,1050,1040
Akbarpur,04/07/2012,150,Other,1030,1050,1040
Akbarpur,05/07/2012,140,Other,1040,1060,1050
Akbarpur,06/07/2012,120,Other,1040,1060,1050
Akbarpur,07/07/2012,170,Other,1025,1075,1050
Akbarpur,08/07/2012,130,Other,1040,1060,1050
Akbarpur,09/07/2012,150,Other,1030,1060,1050
Akbarpur,10/07/2012,120,Other,1025,1075,1050
Akbarpur,11/07/2012,130,Other,1050,1070,1060
Akbarpur,12/07/2012,130,Other,1050,1070,1060
Akbarpur,13/07/2012,70,Other,1080,1150,1100
Akbarpur,14/07/2012,120,Other,1110,1150,1125
Akbarpur,15/07/2012,90,Other,1120,1150,1125
Akbarpur,16/07/2012,90,Other,1120,1175,1150
Akbarpur,17/07/2012,80,Other,1150,1200,1175
